point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,ic3_a,ib1_a,vb1_v,vbref_v,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,ic1_within_4p5ma,pdc_within_10mw
op_sf_-40c_vdd1.98v,sf,-40,1.98,0.00353942,0.00353685,0.00044037,2.56101E-06,0.893202,0.894047,0.920195,1.0598,0.893202,0.00414745,0.00821196,yes,yes
op_sf_27c_vdd1.62v,sf,27,1.62,0.00247821,0.00247497,0.000319789,3.22253E-06,0.826538,0.827601,0.656736,0.963264,0.826538,0.00293637,0.00475692,yes,yes
op_sf_27c_vdd1.80v,sf,27,1.80,0.00305568,0.00305159,0.000389334,4.07447E-06,0.833537,0.834881,0.813575,0.986425,0.833537,0.00359927,0.00647868,yes,yes
op_sf_27c_vdd1.98v,sf,27,1.98,0.00366431,0.00365927,0.000459115,5.03224E-06,0.839654,0.841314,0.970997,1.009,0.839654,0.00429366,0.00850144,yes,yes
op_sf_125c_vdd1.62v,sf,125,1.62,0.00272574,0.00271963,0.000351382,6.11298E-06,0.740189,0.742206,0.739936,0.880064,0.740189,0.00321852,0.005214,yes,yes
op_sf_125c_vdd1.80v,sf,125,1.80,0.00328826,0.00328071,0.000419785,7.57031E-06,0.748126,0.750624,0.89511,0.90489,0.748126,0.00386595,0.00695871,yes,yes
op_sf_125c_vdd1.98v,sf,125,1.98,0.00387563,0.00386651,0.000488414,9.18196E-06,0.75506,0.75809,1.05095,0.929053,0.75506,0.00453861,0.00898646,yes,yes
op_fs_-40c_vdd1.62v,fs,-40,1.62,0.00231991,0.0023183,0.000299465,1.58641E-06,0.881397,0.881921,0.603639,1.01636,0.881397,0.00275603,0.00446477,yes,yes
op_fs_-40c_vdd1.80v,fs,-40,1.80,0.00291078,0.00290872,0.000369801,2.04121E-06,0.887679,0.888353,0.761672,1.03833,0.887679,0.00343271,0.00617888,yes,yes
op_fs_-40c_vdd1.98v,fs,-40,1.98,0.00353942,0.00353685,0.00044037,2.56101E-06,0.893202,0.894047,0.920195,1.0598,0.893202,0.00414745,0.00821196,yes,yes
op_fs_27c_vdd1.62v,fs,27,1.62,0.00247821,0.00247497,0.000319789,3.22253E-06,0.826538,0.827601,0.656736,0.963264,0.826538,0.00293637,0.00475692,yes,yes
op_fs_27c_vdd1.80v,fs,27,1.80,0.00305568,0.00305159,0.000389334,4.07447E-06,0.833537,0.834881,0.813575,0.986425,0.833537,0.00359927,0.00647868,yes,yes
op_fs_27c_vdd1.98v,fs,27,1.98,0.00366431,0.00365927,0.000459115,5.03224E-06,0.839654,0.841314,0.970997,1.009,0.839654,0.00429366,0.00850144,yes,yes
op_fs_125c_vdd1.62v,fs,125,1.62,0.00272574,0.00271963,0.000351382,6.11298E-06,0.740189,0.742206,0.739936,0.880064,0.740189,0.00321852,0.005214,yes,yes
op_fs_125c_vdd1.80v,fs,125,1.80,0.00328826,0.00328071,0.000419785,7.57031E-06,0.748126,0.750624,0.89511,0.90489,0.748126,0.00386595,0.00695871,yes,yes
op_fs_125c_vdd1.98v,fs,125,1.98,0.00387563,0.00386651,0.000488414,9.18196E-06,0.75506,0.75809,1.05095,0.929053,0.75506,0.00453861,0.00898646,yes,yes
