point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,s11_db_worst,s21_db_min,s21_db_max,s22_db_worst,k_inband_min,mu_inband_min,mag_delta_inband_max,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nf290_db_worst,nf290_db_at_band_lo,nf290_db_at_band_mid,nf290_db_at_band_hi,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,gain_ac_minus_s21_db,k_broadband_min,f_at_k_broadband_min_hz,n_broadband_pts_k_lt_1,n_broadband_pts,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,mag_delta_broadband_max,f_at_mag_delta_broadband_max_hz,s11_mag_broadband_max,f_at_s11_mag_broadband_max_hz,s22_mag_broadband_max,f_at_s22_mag_broadband_max_hz,iip3_dbm_a1mv,iip3_dbm_a2mv,im3_slope_2pt,iip3_spread_2pt_db
sp_sf_125c_vdd1.98v,sf,125,1.98,3.976670e-03,3.967270e-03,1.0494,0.9306,0.7563,4.784820e-03,9.473950e-03,-3.1179,10.7960,10.8760,-0.0045,3.482549,1.000335,0.698013,2.6992,2.4703,3.3908,3.3908,3.3903,3.3898,3.3105,10.8760,-0.0000,-3.016706,5.308844e+07,59,140,0.999997,5.623413e+08,58,0.816016,1.000000e+07,0.816016,1.000000e+07,1.000000,1.496236e+08,-0.4306,-0.3989,2.989,0.032
sp_sf_27c_vdd1.62v,sf,27,1.62,3.851510e-03,3.846190e-03,0.6386,0.9814,0.8435,4.608050e-03,7.465040e-03,-3.0709,11.4228,11.5265,-0.0046,3.841422,1.000366,0.701793,2.5917,2.3837,2.6595,2.6595,2.6591,2.6587,2.5918,11.5265,-0.0000,-2.751280,5.011872e+07,60,140,0.999997,5.623413e+08,59,0.813538,1.000000e+07,0.813538,1.000000e+07,1.000000,1.678804e+08,-1.7435,-1.7283,2.995,0.015
sp_sf_27c_vdd1.80v,sf,27,1.80,3.939640e-03,3.934170e-03,0.8027,0.9973,0.8435,4.712190e-03,8.481940e-03,-3.0657,11.4601,11.5653,-0.0044,3.824838,1.000353,0.702232,2.5882,2.3817,2.6560,2.6560,2.6556,2.6551,2.5882,11.5653,-0.0000,-2.791857,5.011872e+07,59,140,0.999997,5.623413e+08,59,0.813574,1.000000e+07,0.813574,1.000000e+07,1.000000,1.678804e+08,-1.4366,-1.4190,2.994,0.018
sp_sf_27c_vdd1.98v,sf,27,1.98,4.032540e-03,4.026920e-03,0.9667,1.0133,0.8435,4.821050e-03,9.545680e-03,-3.0624,11.4969,11.6037,-0.0043,3.778663,1.000340,0.702509,2.5846,2.3797,2.6523,2.6523,2.6519,2.6515,2.5846,11.6037,0.0000,-2.810694,5.308844e+07,59,140,0.999997,5.956621e+08,58,0.813605,1.000000e+07,0.813605,1.000000e+07,1.000000,1.412538e+08,-1.0951,-1.0959,3.000,0.001
sp_typ_-40c_vdd1.62v,typ,-40,1.62,3.869690e-03,3.866830e-03,0.5869,1.0332,0.8981,4.614170e-03,7.474950e-03,-3.0208,11.8455,11.9667,-0.0045,4.129743,1.000371,0.705872,2.5483,2.3454,2.1530,2.1530,2.1526,2.1522,2.0952,11.9667,-0.0000,-2.677186,5.011872e+07,60,140,0.999996,5.623413e+08,60,0.812489,1.000000e+07,0.812489,1.000000e+07,1.000000,1.412538e+08,-2.0807,-2.0813,3.000,0.001
sp_typ_-40c_vdd1.80v,typ,-40,1.80,3.972200e-03,3.969260e-03,0.7510,1.0490,0.8981,4.732540e-03,8.518580e-03,-3.0154,11.8775,12.0002,-0.0043,4.111700,1.000359,0.706320,2.5442,2.3428,2.1493,2.1493,2.1490,2.1486,2.0916,12.0002,0.0000,-2.696404,5.011872e+07,59,140,0.999996,5.623413e+08,59,0.812517,1.000000e+07,0.812517,1.000000e+07,1.000000,1.496236e+08,-1.7629,-1.7447,2.994,0.018
sp_typ_-40c_vdd1.98v,typ,-40,1.98,4.080880e-03,4.077840e-03,0.9151,1.0649,0.8981,4.857050e-03,9.616950e-03,-3.0117,11.9091,12.0332,-0.0042,4.068145,1.000347,0.706632,2.5399,2.3401,2.1455,2.1455,2.1452,2.1448,2.0879,12.0332,-0.0000,-2.694948,5.308844e+07,59,140,0.999996,5.956621e+08,59,0.812542,1.000000e+07,0.812542,1.000000e+07,1.000000,1.584893e+08,-1.4015,-1.3941,2.998,0.007
sp_typ_125c_vdd1.62v,typ,125,1.62,3.823140e-03,3.814160e-03,0.7216,0.8984,0.7564,4.600040e-03,7.452070e-03,-3.1252,10.7073,10.7841,-0.0048,3.548493,1.000365,0.697396,2.7061,2.4739,3.3989,3.3989,3.3984,3.3978,3.3184,10.7841,0.0000,-2.870034,5.011872e+07,58,140,0.999997,5.308844e+08,58,0.815978,1.000000e+07,0.815978,1.000000e+07,1.000000,1.412538e+08,-0.9949,-0.9739,2.993,0.021
sp_typ_125c_vdd1.80v,typ,125,1.80,3.898720e-03,3.889540e-03,0.8855,0.9145,0.7564,4.692120e-03,8.445820e-03,-3.1203,10.7524,10.8308,-0.0046,3.533415,1.000350,0.697807,2.7027,2.4721,3.3948,3.3948,3.3943,3.3938,3.3144,10.8308,0.0000,-2.952994,5.011872e+07,58,140,0.999997,5.623413e+08,57,0.816001,1.000000e+07,0.816001,1.000000e+07,1.000000,1.584893e+08,-0.7118,-0.6925,2.994,0.019
sp_typ_125c_vdd1.98v,typ,125,1.98,3.976860e-03,3.967460e-03,1.0494,0.9306,0.7563,4.786460e-03,9.477190e-03,-3.1179,10.7961,10.8761,-0.0045,3.482505,1.000335,0.698012,2.6992,2.4703,3.3908,3.3908,3.3903,3.3898,3.3105,10.8761,-0.0000,-3.016834,5.308844e+07,59,140,0.999997,5.623413e+08,58,0.816019,1.000000e+07,0.816019,1.000000e+07,1.000000,1.496236e+08,-0.4303,-0.3986,2.989,0.032
sp_typ_27c_vdd1.62v,typ,27,1.62,3.852250e-03,3.846930e-03,0.6386,0.9814,0.8435,4.610370e-03,7.468790e-03,-3.0709,11.4232,11.5269,-0.0046,3.841260,1.000366,0.701792,2.5917,2.3836,2.6595,2.6595,2.6591,2.6586,2.5917,11.5269,0.0000,-2.751656,5.011872e+07,60,140,0.999997,5.623413e+08,59,0.813538,1.000000e+07,0.813538,1.000000e+07,1.000000,1.678804e+08,-1.7422,-1.7264,2.995,0.016
sp_typ_27c_vdd1.80v,typ,27,1.80,3.940300e-03,3.934830e-03,0.8027,0.9973,0.8435,4.714420e-03,8.485960e-03,-3.0657,11.4604,11.5657,-0.0044,3.824708,1.000353,0.702232,2.5882,2.3817,2.6559,2.6559,2.6555,2.6551,2.5882,11.5657,0.0000,-2.792214,5.011872e+07,59,140,0.999997,5.623413e+08,59,0.813574,1.000000e+07,0.813574,1.000000e+07,1.000000,1.678804e+08,-1.4345,-1.4171,2.994,0.017
sp_typ_27c_vdd1.98v,typ,27,1.98,4.033100e-03,4.027470e-03,0.9667,1.0133,0.8435,4.823150e-03,9.549840e-03,-3.0624,11.4972,11.6039,-0.0043,3.778569,1.000340,0.702509,2.5846,2.3796,2.6522,2.6522,2.6518,2.6514,2.5846,11.6039,-0.0000,-2.811000,5.308844e+07,59,140,0.999997,5.956621e+08,58,0.813606,1.000000e+07,0.813606,1.000000e+07,1.000000,1.412538e+08,-1.0993,-1.0953,2.999,0.004
sp_wcs_-40c_vdd1.62v,wcs,-40,1.62,3.821450e-03,3.816480e-03,0.5750,1.0450,0.9080,4.566360e-03,7.397500e-03,-3.0766,11.5182,11.6260,-0.0055,3.905248,1.000441,0.701255,2.9230,2.6266,2.4845,2.4845,2.4841,2.4837,2.4201,11.6260,-0.0000,-2.322729,5.308844e+07,58,140,0.999997,5.308844e+08,58,0.813077,1.000000e+07,0.813077,1.000000e+07,1.000000,1.333521e+08,-2.3333,-2.3219,2.996,0.011
sp_wcs_-40c_vdd1.80v,wcs,-40,1.80,3.906730e-03,3.901620e-03,0.7392,1.0608,0.9080,4.667520e-03,8.401530e-03,-3.0702,11.5469,11.6559,-0.0053,3.904449,1.000427,0.701784,2.9196,2.6251,2.4815,2.4815,2.4811,2.4808,2.4171,11.6559,-0.0000,-2.331411,5.308844e+07,58,140,0.999997,5.308844e+08,57,0.813130,1.000000e+07,0.813130,1.000000e+07,1.000000,1.188502e+08,-2.0728,-2.0640,2.997,0.009
sp_wcs_-40c_vdd1.98v,wcs,-40,1.98,3.996030e-03,3.990780e-03,0.9033,1.0767,0.9080,4.772670e-03,9.449890e-03,-3.0661,11.5749,11.6851,-0.0052,3.872815,1.000413,0.702131,2.9161,2.6235,2.4784,2.4784,2.4780,2.4777,2.4141,11.6851,0.0000,-2.315437,5.308844e+07,57,140,0.999997,5.308844e+08,57,0.813180,1.000000e+07,0.813180,1.000000e+07,1.000000,1.258925e+08,-1.7913,-1.7936,3.001,0.002
sp_wcs_125c_vdd1.62v,wcs,125,1.62,3.657330e-03,3.642150e-03,0.7041,0.9159,0.7684,4.436150e-03,7.186570e-03,-3.2227,10.2748,10.3390,-0.0059,3.410815,1.000437,0.689506,3.0302,2.7275,3.7759,3.7759,3.7753,3.7748,3.6897,10.3390,0.0000,-2.144448,5.623413e+07,54,140,0.999998,4.731513e+08,54,0.812839,1.000000e+07,0.812839,1.000000e+07,1.000000,1.122018e+08,-1.5965,-1.5817,2.995,0.015
sp_wcs_125c_vdd1.80v,wcs,125,1.80,3.718000e-03,3.702520e-03,0.8680,0.9320,0.7683,4.513360e-03,8.124050e-03,-3.2162,10.3145,10.3799,-0.0057,3.424208,1.000421,0.690038,3.0282,2.7271,3.7736,3.7736,3.7731,3.7726,3.6875,10.3799,-0.0000,-2.200474,5.623413e+07,54,140,0.999998,4.731513e+08,54,0.812906,1.000000e+07,0.812906,1.000000e+07,1.000000,1.122018e+08,-1.3968,-1.3757,2.993,0.021
sp_wcs_125c_vdd1.98v,wcs,125,1.98,3.779660e-03,3.763870e-03,1.0320,0.9480,0.7683,4.591210e-03,9.090600e-03,-3.2133,10.3521,10.4187,-0.0055,3.389937,1.000404,0.690292,3.0262,2.7268,3.7713,3.7713,3.7708,3.7704,3.6852,10.4187,-0.0000,-2.236059,5.623413e+07,54,140,0.999998,5.011872e+08,53,0.812974,1.000000e+07,0.812974,1.000000e+07,1.000000,1.122018e+08,-1.1925,-1.1610,2.990,0.031
sp_wcs_27c_vdd1.62v,wcs,27,1.62,3.748040e-03,3.738880e-03,0.6245,0.9955,0.8542,4.507260e-03,7.301760e-03,-3.1445,11.0605,11.1513,-0.0057,3.653924,1.000436,0.695771,2.9379,2.6495,3.0120,3.0120,3.0116,3.0111,2.9379,11.1513,0.0000,-2.237495,5.308844e+07,56,140,0.999998,5.308844e+08,56,0.812331,1.000000e+07,0.812331,1.000000e+07,1.000000,1.258925e+08,-2.1824,-2.1754,2.998,0.007
sp_wcs_27c_vdd1.80v,wcs,27,1.80,3.819890e-03,3.810530e-03,0.7886,1.0114,0.8542,4.595140e-03,8.271260e-03,-3.1381,11.0934,11.1854,-0.0055,3.658484,1.000421,0.696306,2.9356,2.6488,3.0097,3.0097,3.0093,3.0088,2.9356,11.1854,0.0000,-2.260073,5.623413e+07,56,140,0.999998,5.308844e+08,56,0.812405,1.000000e+07,0.812405,1.000000e+07,1.000000,1.258925e+08,-1.9646,-1.9439,2.993,0.021
sp_wcs_27c_vdd1.98v,wcs,27,1.98,3.894700e-03,3.885120e-03,0.9527,1.0273,0.8541,4.685890e-03,9.278060e-03,-3.1343,11.1254,11.2186,-0.0053,3.626175,1.000407,0.696621,2.9332,2.6482,3.0073,3.0073,3.0069,3.0064,2.9333,11.2186,0.0000,-2.259776,5.623413e+07,57,140,0.999998,5.308844e+08,56,0.812475,1.000000e+07,0.812475,1.000000e+07,1.000000,1.333521e+08,-1.7164,-1.7032,2.996,0.013
