point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_fs_-40c_vdd1.98v_a1mv,fs,-40,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.0701,-153.3158,11.9505,-1.3977,10.5528,-1.3960,1.980530e-03,1.977940e-03,6.836190e-09,6.817240e-09,5.945360e-11,41.20,4.081820e-03,4.859750e-03,65536,3.814700e+06
iip3_fs_-40c_vdd1.98v_a2mv,fs,-40,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.0496,-135.2652,11.9504,-1.3922,10.5581,-1.3918,3.960970e-03,3.955800e-03,5.450250e-08,5.458400e-08,1.105420e-10,53.86,4.081820e-03,4.859750e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.62v_a1mv,fs,125,1.62,1.000000e-03,9.996210e-04,-56.0206,-45.2883,-155.3419,10.7323,-0.9938,9.7384,-0.9932,1.720910e-03,1.719520e-03,5.543750e-09,5.268990e-09,5.537825e-11,39.79,3.823830e-03,4.602350e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.62v_a2mv,fs,125,1.62,2.000000e-03,1.999240e-03,-50.0000,-39.2680,-137.3223,10.7320,-0.9728,9.7592,-0.9727,3.441720e-03,3.438930e-03,4.428110e-08,4.180100e-08,1.129712e-10,51.62,3.823830e-03,4.602350e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.80v_a1mv,fs,125,1.80,1.000000e-03,9.996210e-04,-56.0206,-45.2446,-155.8634,10.7760,-0.7112,10.0649,-0.7105,1.729630e-03,1.728190e-03,5.218190e-09,4.964450e-09,5.365190e-11,39.54,3.899150e-03,4.694120e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.80v_a2mv,fs,125,1.80,2.000000e-03,1.999240e-03,-50.0000,-39.2242,-137.8405,10.7758,-0.6919,10.0839,-0.6917,3.459150e-03,3.456290e-03,4.161700e-08,3.948030e-08,1.122375e-10,51.16,3.899150e-03,4.694120e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.98v_a1mv,fs,125,1.98,1.000000e-03,9.996210e-04,-56.0206,-45.2021,-156.3836,10.8185,-0.4298,10.3887,-0.4291,1.738120e-03,1.736660e-03,4.893830e-09,4.696890e-09,5.549535e-11,38.73,3.977090e-03,4.788230e-03,65536,3.814700e+06
iip3_fs_125c_vdd1.98v_a2mv,fs,125,1.98,2.000000e-03,1.999240e-03,-50.0000,-39.1817,-138.3853,10.8183,-0.3982,10.4201,-0.3980,3.476150e-03,3.473220e-03,3.894390e-08,3.722280e-08,1.135729e-10,50.51,3.977090e-03,4.788230e-03,65536,3.814700e+06
iip3_fs_27c_vdd1.62v_a1mv,fs,27,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.5605,-153.1206,11.4601,-1.7406,9.7195,-1.7394,1.871600e-03,1.869550e-03,7.033880e-09,6.929850e-09,5.806340e-11,41.60,3.853140e-03,4.612960e-03,65536,3.814700e+06
iip3_fs_27c_vdd1.62v_a2mv,fs,27,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.5401,-135.0883,11.4599,-1.7259,9.7339,-1.7257,3.743090e-03,3.739000e-03,5.604570e-08,5.528560e-08,1.162080e-10,53.61,3.853140e-03,4.612960e-03,65536,3.814700e+06
