point_id,corner_label,temp_c,vdd_v,ic1_a,ic2_a,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,s11_db_worst,s21_db_min,s21_db_max,s22_db_worst,k_inband_min,mu_inband_min,mag_delta_inband_max,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nf290_db_worst,nf290_db_at_band_lo,nf290_db_at_band_mid,nf290_db_at_band_hi,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,gain_ac_minus_s21_db,k_broadband_min,f_at_k_broadband_min_hz,n_broadband_pts_k_lt_1,n_broadband_pts,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,mag_delta_broadband_max,f_at_mag_delta_broadband_max_hz,s11_mag_broadband_max,f_at_s11_mag_broadband_max_hz,s22_mag_broadband_max,f_at_s22_mag_broadband_max_hz,iip3_dbm_a1mv,iip3_dbm_a2mv,im3_slope_2pt,iip3_spread_2pt_db
sp_typ_-40c_vdd1.62v,typ,-40,1.62,3.373350e-05,3.370800e-05,0.6988,0.9212,0.7863,2.473850e-04,4.007630e-04,-0.2719,-17.8077,-17.7561,-0.0046,15.807274,1.000476,0.968672,9.3594,2.5446,8.5630,8.5328,8.5478,8.5630,8.4046,-17.8077,-0.0000,0.462198,2.818383e+07,35,140,1.000000,1.000000e+07,0,0.980676,1.000000e+07,0.980676,1.000000e+07,1.000000,1.000000e+07,-20.9942,-20.9882,3.001,0.006
sp_typ_-40c_vdd1.80v,typ,-40,1.80,1.489540e-03,1.488530e-03,0.7810,1.0190,0.8686,1.727320e-03,3.109180e-03,-0.4920,10.6663,10.7035,-0.0043,0.426488,0.999704,0.944438,2.0676,0.7005,1.7325,1.7325,1.7321,1.7317,1.6839,10.7035,-0.0000,-1.007804,7.498942e+07,102,140,0.999685,2.113489e+09,94,0.977492,1.000000e+07,0.977492,1.000000e+07,1.000000,1.000000e+07,-8.8777,-8.8692,2.997,0.009
sp_typ_-40c_vdd1.98v,typ,-40,1.98,7.963710e-03,7.956660e-03,0.8851,1.0949,0.9257,8.227580e-03,1.629060e-02,-0.5108,13.6317,13.7867,-0.0042,0.475177,0.999610,0.942409,1.6589,0.7698,1.3798,1.3798,1.3796,1.3795,1.3397,13.7867,-0.0000,-1.376660,5.011872e+07,95,140,0.999586,1.995262e+09,95,0.969677,1.000000e+07,0.969677,1.000000e+07,1.000001,2.818383e+08,3.6701,3.6760,2.998,0.006
sp_typ_125c_vdd1.62v,typ,125,1.62,3.238950e-03,3.231530e-03,0.7309,0.8891,0.7483,3.455570e-03,5.598030e-03,-0.6151,11.3535,11.4144,-0.0048,0.345933,0.999559,0.931072,1.9887,0.7977,2.5464,2.5464,2.5459,2.5453,2.4807,11.4144,-0.0000,-1.134214,5.956621e+07,98,140,0.999555,2.238721e+09,95,0.966471,1.000000e+07,0.966471,1.000000e+07,1.000000,1.496236e+08,-2.8888,-2.8619,2.991,0.027
sp_typ_125c_vdd1.80v,typ,125,1.80,6.592020e-03,6.574660e-03,0.8506,0.9494,0.7846,6.836370e-03,1.230550e-02,-0.6579,12.8789,13.0007,-0.0047,0.403356,0.999546,0.926520,1.7997,0.8930,2.3172,2.3172,2.3169,2.3166,2.2560,13.0007,-0.0000,-1.579401,5.011872e+07,97,140,0.999543,2.238721e+09,96,0.954385,1.000000e+07,0.954385,1.000000e+07,1.000001,2.371374e+08,1.8081,1.8361,2.991,0.028
sp_typ_125c_vdd1.98v,typ,125,1.98,9.865290e-03,9.835650e-03,0.9801,0.9999,0.8082,1.013840e-02,2.007400e-02,-0.6631,13.3280,13.4723,-0.0046,0.417529,0.999533,0.925987,1.7475,1.0148,2.2535,2.2535,2.2535,2.2534,2.1937,13.4723,-0.0000,-2.332934,5.956621e+07,104,140,0.999531,2.238721e+09,101,0.943536,1.000000e+07,0.943536,1.000000e+07,1.000001,3.162278e+08,5.1736,5.2309,2.981,0.057
sp_typ_27c_vdd1.62v,typ,27,1.62,6.137070e-04,6.129390e-04,0.7021,0.9179,0.7825,8.276570e-04,1.340800e-03,-0.3585,4.3308,4.3879,-0.0046,0.560478,0.999826,0.959041,2.8290,0.8474,2.9012,2.9012,2.9005,2.8998,2.8290,4.3308,-0.0000,-0.976111,5.011872e+07,101,140,0.999811,2.113489e+09,88,0.978354,1.000000e+07,0.978354,1.000000e+07,1.000000,1.000000e+07,-13.9919,-13.9856,2.998,0.006
sp_typ_27c_vdd1.80v,typ,27,1.80,4.067680e-03,4.062000e-03,0.8012,0.9988,0.8448,4.307320e-03,7.753170e-03,-0.5750,12.6328,12.7409,-0.0044,0.430649,0.999621,0.935437,1.8153,0.7507,1.8669,1.8669,1.8666,1.8662,1.8153,12.7409,0.0000,-1.142671,5.956621e+07,98,140,0.999608,2.113489e+09,96,0.969016,1.000000e+07,0.969016,1.000000e+07,1.000000,1.678804e+08,-2.2401,-2.2226,2.994,0.018
sp_typ_27c_vdd1.98v,typ,27,1.98,9.046150e-03,9.030590e-03,0.9205,1.0595,0.8821,9.313430e-03,1.844060e-02,-0.5718,13.5414,13.6938,-0.0044,0.452221,0.999579,0.935795,1.6741,0.8850,1.7225,1.7225,1.7224,1.7223,1.6742,13.6938,0.0000,-1.789595,5.011872e+07,99,140,0.999566,2.113489e+09,98,0.958738,1.000000e+07,0.958738,1.000000e+07,1.000001,2.985383e+08,4.6423,4.6741,2.989,0.032
sp_wcs_-40c_vdd1.62v,wcs,-40,1.62,2.491470e-05,2.488100e-05,0.6988,0.9212,0.7862,2.385690e-04,3.864820e-04,-0.3059,-21.0607,-21.0416,-0.0057,25.637982,1.000622,0.964762,11.1013,3.3092,10.2971,10.2350,10.2660,10.2971,10.1000,-21.0607,0.0000,0.671824,2.238721e+07,27,140,1.000000,1.000000e+07,0,0.980640,1.000000e+07,0.980640,1.000000e+07,1.000000,1.000000e+07,-22.0271,-22.0154,3.000,0.012
sp_wcs_-40c_vdd1.80v,wcs,-40,1.80,1.057650e-03,1.056390e-03,0.7819,1.0180,0.8673,1.295530e-03,2.331950e-03,-0.4910,8.9163,8.9186,-0.0052,0.413855,0.999667,0.944431,2.5368,0.8136,2.1428,2.1428,2.1422,2.1417,2.0852,8.9163,-0.0000,-0.974361,6.683439e+07,102,140,0.999649,2.113489e+09,92,0.976516,1.000000e+07,0.976516,1.000000e+07,1.000000,1.000000e+07,-10.3989,-10.3909,2.997,0.008
sp_wcs_-40c_vdd1.98v,wcs,-40,1.98,5.523430e-03,5.515660e-03,0.8877,1.0923,0.9218,5.787610e-03,1.145950e-02,-0.5742,13.0642,13.1920,-0.0052,0.443823,0.999552,0.935440,2.0711,0.9048,1.7355,1.7355,1.7353,1.7350,1.6869,13.1920,0.0000,-1.184114,5.623413e+07,97,140,0.999538,2.113489e+09,95,0.967291,1.000000e+07,0.967291,1.000000e+07,1.000000,1.778279e+08,-0.0254,0.0093,2.988,0.035
sp_wcs_125c_vdd1.62v,wcs,125,1.62,2.168280e-03,2.159810e-03,0.7352,0.8848,0.7427,2.385330e-03,3.864240e-03,-0.6375,9.5915,9.6059,-0.0059,0.345971,0.999535,0.928540,2.4246,0.9316,3.0675,3.0675,3.0668,3.0662,2.9924,9.6059,-0.0000,-1.048358,6.683439e+07,99,140,0.999534,2.238721e+09,94,0.963654,1.000000e+07,0.963654,1.000000e+07,1.000000,5.623413e+07,-4.8572,-4.8418,2.995,0.015
sp_wcs_125c_vdd1.80v,wcs,125,1.80,4.377940e-03,4.359190e-03,0.8565,0.9435,0.7772,4.622870e-03,8.321170e-03,-0.7400,11.8189,11.8992,-0.0057,0.391860,0.999520,0.917669,2.1941,1.0360,2.7932,2.7932,2.7928,2.7925,2.7230,11.8992,-0.0000,-1.225527,5.623413e+07,95,140,0.999519,2.371374e+09,94,0.950164,1.000000e+07,0.950164,1.000000e+07,1.000000,1.496236e+08,-1.4600,-1.4419,2.994,0.018
sp_wcs_125c_vdd1.98v,wcs,125,1.98,6.608440e-03,6.577360e-03,0.9865,0.9935,0.8004,6.882140e-03,1.362660e-02,-0.7676,12.5587,12.6694,-0.0056,0.422687,0.999525,0.914777,2.1273,1.1693,2.7133,2.7133,2.7131,2.7130,2.6445,12.6694,0.0000,-1.614431,5.623413e+07,97,140,0.999525,2.371374e+09,95,0.938320,1.000000e+07,0.938320,1.000000e+07,1.000000,1.883649e+08,1.4451,1.4438,3.000,0.001
sp_wcs_27c_vdd1.62v,wcs,27,1.62,4.391450e-04,4.381670e-04,0.7030,0.9170,0.7814,6.531800e-04,1.058150e-03,-0.3457,1.7393,1.8091,-0.0057,0.763049,0.999902,0.960330,3.4432,0.9897,3.5256,3.5256,3.5248,3.5241,3.4432,1.7393,0.0000,-0.887092,4.216965e+07,98,140,0.999867,1.995262e+09,82,0.977643,1.000000e+07,0.977643,1.000000e+07,1.000000,1.000000e+07,-14.9308,-14.9243,2.998,0.006
sp_wcs_27c_vdd1.80v,wcs,27,1.80,2.758060e-03,2.751590e-03,0.8044,0.9956,0.8406,2.998030e-03,5.396460e-03,-0.6249,11.4691,11.5342,-0.0054,0.393490,0.999567,0.929951,2.2285,0.8771,2.2891,2.2891,2.2887,2.2882,2.2285,11.5342,-0.0000,-1.060858,7.079458e+07,99,140,0.999558,2.238721e+09,95,0.966400,1.000000e+07,0.966400,1.000000e+07,1.000000,8.912509e+07,-4.9786,-4.9684,2.996,0.010
sp_wcs_27c_vdd1.98v,wcs,27,1.98,6.139220e-03,6.122610e-03,0.9248,1.0552,0.8762,6.406960e-03,1.268580e-02,-0.6530,12.9043,13.0271,-0.0053,0.437521,0.999543,0.926967,2.0666,1.0304,2.1238,2.1238,2.1236,2.1234,2.0666,13.0271,-0.0000,-1.364858,5.308844e+07,97,140,0.999537,2.238721e+09,96,0.954900,1.000000e+07,0.954900,1.000000e+07,1.000000,1.995262e+08,0.8275,0.8518,2.992,0.024
