point_id,variant,family,topology,nx1,m1,nx2,m2,emitter_units_stage1,emitter_area_um2_stage1,xmis_w_um,corner_label,temp_c,vdd_v,ic1_a,ic2_a,ib1_a,jc1_ma_um2,vce1_v,vce2_v,vbe1_v,idd_a,pdc_w,pdc_violates_10mw,ic1_violates_4p5ma,s11_db_worst,s21_db_min,s21_db_max,s12_db_max,s22_db_worst,gain_in_match_basis_db_min,ga_max_ideal_db_min,ga_max_q10_db_min,nf_sp_db_at_band_lo,nfmin_sp_db_at_band_lo,nfmin290_db_at_band_lo,nfmin290_db_worst,nfmin_reref_delta_db,nf290_db_at_band_lo,nf290_db_worst,nf30015_db_at_band_lo,gain_ac_db_at_band_lo,k_inband_min,mu_inband_min,n_inband_pts_mu_lt_1,n_inband_pts,mag_delta_inband_max,k_broadband_min,mu_broadband_min,f_at_mu_broadband_min_hz,n_broadband_pts_mu_lt_1,n_broadband_pts,s11_mag_broadband_max,s22_mag_broadband_max,model_card_flags
s_fixj_a2_bcs_-40c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,-40,1.80,1.001420e-03,1.001020e-03,3.911030e-07,4.3464,0.7613,1.0387,0.8898,1.762360e-03,3.172240e-03,0,0,-2.7244,5.5008,5.5388,-111.9749,-0.0002,8.8172,52.1684,16.171,4.9313,3.9757,3.4326,3.4326,-0.5431,4.3112,4.3112,4.2177,5.5008,1.64502855,1.00000612,0,11,0.730752,-7.94705773,0.99999969,8.413951e+08,65,140,0.812355,1.0,in_box
s_fixj_a2_bcs_-40c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,-40,1.98,1.030010e-03,1.029600e-03,4.076030e-07,4.4705,0.9255,1.0545,0.8898,1.806770e-03,3.577400e-03,0,0,-2.7249,5.6037,5.6405,-112.163,-0.0002,8.9194,52.3557,16.2734,4.9206,3.9686,3.4262,3.4262,-0.5425,4.3013,4.3013,4.208,5.6037,1.62572226,1.00000588,0,11,0.730707,-7.86905586,0.99999973,7.943282e+08,65,140,0.812349,1.0,in_box
s_fixj_a2_bcs_27c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,27,1.62,9.906560e-04,9.899220e-04,7.259280e-07,4.2997,0.651,0.969,0.8351,1.748860e-03,2.833150e-03,0,0,-2.7256,4.2755,4.3251,-110.3963,-0.0002,7.5905,50.7833,14.9439,5.0704,4.0725,4.164,4.164,0.0915,5.1738,5.1738,5.0704,4.2755,1.62464683,1.00000616,0,11,0.730644,-8.66351167,0.99999961,8.413951e+08,66,140,0.815766,1.0,in_box
s_fixj_a2_bcs_27c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,27,1.80,1.014500e-03,1.013740e-03,7.509220e-07,4.4032,0.8151,0.9849,0.8351,1.788710e-03,3.219680e-03,0,0,-2.726,4.3771,4.4258,-110.6815,-0.0002,7.6916,51.0114,15.0452,5.0604,4.0659,4.1573,4.1573,0.0914,5.1638,5.1638,5.0604,4.3771,1.60771273,1.00000587,0,11,0.730613,-8.78980913,0.99999963,8.413951e+08,66,140,0.815759,1.0,in_box
s_fixj_a2_bcs_27c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,27,1.98,1.039780e-03,1.039000e-03,7.776240e-07,4.5129,0.9793,1.0007,0.8351,1.829920e-03,3.623240e-03,0,0,-2.7267,4.4809,4.5288,-110.887,-0.0002,7.7947,51.2305,15.1484,5.0501,4.059,4.1504,4.1504,0.0913,5.1533,5.1533,5.0501,4.4809,1.57626899,1.0000055,0,11,0.730556,-8.81349474,0.99999964,8.413951e+08,66,140,0.81575,1.0,in_box
s_fixj_a2_bcs_125c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,125,1.62,1.005830e-03,1.004560e-03,1.266920e-06,4.3656,0.7371,0.8829,0.7476,1.782230e-03,2.887220e-03,0,0,-2.7254,2.7028,2.7633,-108.5805,-0.0002,6.018,49.0213,13.371,5.3259,4.2495,5.1583,5.1583,0.9088,6.3418,6.3418,6.2275,2.7028,1.64914032,1.00000658,0,11,0.730667,-9.66401249,0.99999962,8.413951e+08,65,140,0.820786,1.0,in_box
s_fixj_a2_bcs_125c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,125,1.80,1.027090e-03,1.025790e-03,1.303960e-06,4.4579,0.9012,0.8988,0.7476,1.819920e-03,3.275860e-03,0,0,-2.7258,2.8049,2.8648,-108.9102,-0.0002,6.1196,49.2861,13.4727,5.3155,4.2426,5.1506,5.1506,0.908,6.3305,6.3305,6.2163,2.8049,1.62358065,1.00000616,0,11,0.730628,-9.98567975,0.99999961,8.413951e+08,66,140,0.820766,1.0,in_box
s_fixj_a2_bcs_125c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,bcs,125,1.98,1.049260e-03,1.047930e-03,1.341350e-06,4.5541,1.0653,0.9147,0.7477,1.858290e-03,3.679410e-03,0,0,-2.7267,2.9079,2.9672,-109.1434,-0.0002,6.2217,49.5454,13.5749,5.305,4.2356,5.1428,5.1428,0.9072,6.319,6.319,6.205,2.9079,1.57701531,1.00000562,0,11,0.730559,-10.1990438,0.99999959,8.912509e+08,66,140,0.820745,1.0,in_box
s_fixj_a2_wcs_-40c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,-40,1.62,9.812140e-04,9.799420e-04,1.242470e-06,4.2587,0.5767,1.0433,0.9095,1.726430e-03,2.796810e-03,0,0,-2.7404,3.7847,3.8375,-106.0535,-0.0003,7.0827,48.1374,14.4326,6.2929,4.9238,4.3042,4.3042,-0.6195,5.5871,5.5871,5.4795,3.7847,1.7292108,1.00001114,0,11,0.72939,-5.49613572,0.99999978,6.683439e+08,59,140,0.816739,1.0,in_box
s_fixj_a2_wcs_-40c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,-40,1.80,1.001530e-03,1.000230e-03,1.283400e-06,4.3469,0.7409,1.0591,0.9095,1.762640e-03,3.172740e-03,0,0,-2.7403,3.8482,3.9006,-106.3743,-0.0003,7.1465,48.3016,14.4965,6.2854,4.9189,4.2997,4.2997,-0.6192,5.58,5.58,5.4724,3.8482,1.74529726,1.00001106,0,11,0.729402,-5.45427621,0.99999982,6.309573e+08,58,140,0.816747,1.0,in_box
s_fixj_a2_wcs_-40c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,-40,1.98,1.022760e-03,1.021420e-03,1.326920e-06,4.4391,0.9051,1.0749,0.9095,1.799700e-03,3.563410e-03,0,0,-2.7406,3.9125,3.9643,-106.6038,-0.0003,7.2104,48.4608,14.5606,6.2775,4.9138,4.295,4.295,-0.6188,5.5725,5.5725,5.4651,3.9125,1.73943534,1.00001076,0,11,0.72938,-5.33126721,0.99999985,5.956621e+08,58,140,0.816752,1.0,in_box
s_fixj_a2_wcs_27c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,27,1.62,9.872680e-04,9.848530e-04,2.386680e-06,4.285,0.6277,0.9923,0.857,1.747050e-03,2.830220e-03,0,0,-2.7576,2.8916,2.9502,-104.6857,-0.0003,6.1702,47.1054,13.5197,6.2725,4.9173,5.0191,5.0191,0.1018,6.3871,6.3871,6.2725,2.8916,1.67395753,1.00001082,0,11,0.727947,-5.15162319,0.99999979,6.683439e+08,58,140,0.818513,1.0,in_box
s_fixj_a2_wcs_27c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,27,1.80,1.005720e-03,1.003260e-03,2.454160e-06,4.3651,0.7919,1.0081,0.857,1.781550e-03,3.206790e-03,0,0,-2.7578,2.959,3.0172,-105.0471,-0.0003,6.2374,47.2865,13.5871,6.2659,4.9133,5.015,5.015,0.1018,6.3805,6.3805,6.2659,2.959,1.69219152,1.00001075,0,11,0.727934,-5.19770617,0.99999981,6.309573e+08,58,140,0.818521,1.0,in_box
s_fixj_a2_wcs_27c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,27,1.98,1.024950e-03,1.022430e-03,2.525500e-06,4.4486,0.9561,1.0239,0.857,1.816730e-03,3.597120e-03,0,0,-2.7584,3.027,3.0848,-105.2983,-0.0003,6.3047,47.4668,13.6546,6.2592,4.9091,5.0109,5.0109,0.1017,6.3737,6.3737,6.2592,3.027,1.68164603,1.00001036,0,11,0.727882,-5.15187816,0.99999983,6.309573e+08,57,140,0.818527,1.0,in_box
s_fixj_a2_wcs_125c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,125,1.62,9.916170e-04,9.874650e-04,4.149070e-06,4.3039,0.7092,0.9108,0.7732,1.771340e-03,2.869560e-03,0,0,-2.7757,1.5358,1.6014,-102.7917,-0.0003,4.7941,45.4776,12.1429,6.3814,5.0029,5.9896,5.9896,0.9867,7.4777,7.4777,7.3554,1.5358,1.67301078,1.00001144,0,11,0.726426,-4.67740781,0.99999985,5.956621e+08,55,140,0.821625,1.0,in_box
s_fixj_a2_wcs_125c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,125,1.80,1.008550e-03,1.004310e-03,4.250580e-06,4.3774,0.8733,0.9267,0.7733,1.804840e-03,3.248700e-03,0,0,-2.7762,1.6083,1.6736,-103.2244,-0.0003,4.866,45.6801,12.215,6.375,4.999,5.9853,5.9853,0.9863,7.4708,7.4708,7.3485,1.6083,1.69997727,1.00001142,0,11,0.726388,-4.85851292,0.99999986,5.956621e+08,55,140,0.821621,1.0,in_box
s_fixj_a2_wcs_125c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,wcs,125,1.98,1.025780e-03,1.021460e-03,4.355290e-06,4.4522,1.0374,0.9426,0.7733,1.838290e-03,3.639810e-03,0,0,-2.7772,1.6796,1.7446,-103.5127,-0.0003,4.9363,45.8869,12.2855,6.3686,4.9951,5.9811,5.9811,0.986,7.464,7.464,7.3418,1.6796,1.68543438,1.0000109,0,11,0.726306,-4.97520529,0.99999986,5.956621e+08,55,140,0.821618,1.0,in_box
s_fixj_a2_sf_-40c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,-40,1.62,9.782350e-04,9.775190e-04,7.003430e-07,4.2458,0.5877,1.0323,0.8989,1.721250e-03,2.788420e-03,0,0,-2.7307,4.566,4.6128,-108.7534,-0.0002,7.8751,49.9847,15.227,5.6157,4.4471,3.864,3.864,-0.583,4.9494,4.9494,4.8484,4.566,1.6817109,1.00000838,0,11,0.730216,-6.878875,0.99999971,7.498942e+08,64,140,0.814735,1.0,in_box
s_fixj_a2_sf_-40c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,-40,1.80,1.001570e-03,1.000830e-03,7.258910e-07,4.3471,0.7519,1.0481,0.8989,1.760450e-03,3.168810e-03,0,0,-2.7307,4.6458,4.6919,-109.0415,-0.0002,7.9549,50.1668,15.3069,5.6071,4.4413,3.8588,3.8588,-0.5826,4.9413,4.9413,4.8404,4.6457,1.68384096,1.00000821,0,11,0.730215,-6.88309587,0.99999975,7.498942e+08,62,140,0.814735,1.0,in_box
s_fixj_a2_sf_-40c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,-40,1.98,1.026170e-03,1.025410e-03,7.532860e-07,4.4539,0.9161,1.0638,0.899,1.800880e-03,3.565740e-03,0,0,-2.731,4.7268,4.7722,-109.2508,-0.0002,8.0355,50.3402,15.3876,5.5982,4.4355,3.8534,3.8534,-0.5821,4.9329,4.9329,4.8321,4.7268,1.67024908,1.00000793,0,11,0.730185,-6.79854122,0.99999979,7.079458e+08,62,140,0.814734,1.0,in_box
s_fixj_a2_sf_27c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,27,1.62,9.897830e-04,9.884170e-04,1.349260e-06,4.2959,0.6404,0.9796,0.8451,1.746650e-03,2.829570e-03,0,0,-2.7387,3.5709,3.6255,-107.4096,-0.0003,6.871,48.8875,14.2225,5.6674,4.487,4.5838,4.5838,0.0968,5.7768,5.7768,5.6674,3.5709,1.63803684,1.00000815,0,11,0.729541,-7.19607599,0.99999969,7.498942e+08,63,140,0.817377,1.0,in_box
s_fixj_a2_sf_27c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,27,1.80,1.010850e-03,1.009450e-03,1.391430e-06,4.3874,0.8046,0.9954,0.8451,1.783740e-03,3.210730e-03,0,0,-2.7389,3.6539,3.7079,-107.7304,-0.0002,6.9537,49.0925,14.3054,5.6593,4.4818,4.5785,4.5785,0.0968,5.7687,5.7687,5.6593,3.6539,1.63697733,1.00000791,0,11,0.729522,-7.31065096,0.99999971,7.498942e+08,63,140,0.817376,1.0,in_box
s_fixj_a2_sf_27c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,27,1.98,1.032990e-03,1.031550e-03,1.436310e-06,4.4835,0.9688,1.0112,0.8452,1.821820e-03,3.607200e-03,0,0,-2.7395,3.7382,3.7916,-107.9585,-0.0002,7.0373,49.2925,14.3891,5.651,4.4764,4.5731,4.5731,0.0967,5.7603,5.7603,5.651,3.7382,1.61500967,1.00000752,0,11,0.72947,-7.32425196,0.99999973,7.498942e+08,63,140,0.817373,1.0,in_box
s_fixj_a2_sf_125c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,125,1.62,1.000490e-03,9.981390e-04,2.351540e-06,4.3424,0.7247,0.8953,0.7592,1.776480e-03,2.877900e-03,0,0,-2.7458,2.1239,2.1872,-105.5569,-0.0003,5.4159,47.2083,12.7668,5.8475,4.6165,5.5651,5.5651,0.9486,6.9057,6.9057,6.7871,2.1239,1.64720607,1.00000864,0,11,0.728942,-7.62803343,0.99999972,7.498942e+08,62,140,0.821508,1.0,in_box
s_fixj_a2_sf_125c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,125,1.80,1.019650e-03,1.017240e-03,2.414830e-06,4.4256,0.8888,0.9112,0.7593,1.812150e-03,3.261860e-03,0,0,-2.7463,2.2107,2.2735,-105.9323,-0.0003,5.5021,47.4429,12.8532,5.8391,4.6111,5.5591,5.5591,0.948,6.8967,6.8967,6.7782,2.2107,1.64525458,1.00000833,0,11,0.728905,-7.92085362,0.99999972,7.498942e+08,62,140,0.821494,1.0,in_box
s_fixj_a2_sf_125c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,sf,125,1.98,1.039370e-03,1.036910e-03,2.480110e-06,4.5112,1.0528,0.9272,0.7593,1.848080e-03,3.659190e-03,0,0,-2.7471,2.2971,2.3595,-106.1915,-0.0002,5.5875,47.676,12.9388,5.8308,4.6057,5.5532,5.5532,0.9475,6.8877,6.8877,6.7693,2.2971,1.61376707,1.00000777,0,11,0.728832,-8.11723192,0.99999971,7.498942e+08,62,140,0.82148,1.0,in_box
s_fixj_a2_fs_-40c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,-40,1.62,9.787500e-04,9.780330e-04,7.007590e-07,4.248,0.5877,1.0323,0.8989,1.725170e-03,2.794780e-03,0,0,-2.7307,4.5681,4.6149,-108.7533,-0.0002,7.8772,49.9868,15.229,5.6155,4.4469,3.8639,3.8639,-0.583,4.9492,4.9492,4.8481,4.5681,1.68109432,1.00000838,0,11,0.730214,-6.88245465,0.99999971,7.498942e+08,64,140,0.814734,1.0,in_box
s_fixj_a2_fs_-40c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,-40,1.80,1.002010e-03,1.001270e-03,7.262420e-07,4.349,0.7519,1.0481,0.899,1.764290e-03,3.175720e-03,0,0,-2.7307,4.6477,4.6938,-109.0414,-0.0002,7.9568,50.1687,15.3088,5.6069,4.4412,3.8586,3.8586,-0.5826,4.9411,4.9411,4.8402,4.6476,1.68329715,1.00000821,0,11,0.730213,-6.8862958,0.99999975,7.498942e+08,62,140,0.814735,1.0,in_box
s_fixj_a2_fs_-40c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,-40,1.98,1.026630e-03,1.025870e-03,7.536810e-07,4.4559,0.9161,1.0639,0.899,1.804740e-03,3.573390e-03,0,0,-2.7311,4.7285,4.7739,-109.2507,-0.0002,8.0373,50.342,15.3894,5.5979,4.4353,3.8532,3.8532,-0.5821,4.9327,4.9327,4.8319,4.7285,1.66975066,1.00000793,0,11,0.730184,-6.80212463,0.99999979,7.079458e+08,62,140,0.814734,1.0,in_box
s_fixj_a2_fs_27c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,27,1.62,9.902100e-04,9.888440e-04,1.349930e-06,4.2978,0.6404,0.9796,0.8451,1.750350e-03,2.835570e-03,0,0,-2.7387,3.573,3.6275,-107.4095,-0.0003,6.873,48.8896,14.2245,5.6671,4.4868,4.5837,4.5837,0.0968,5.7765,5.7765,5.6672,3.573,1.63744703,1.00000814,0,11,0.729539,-7.19900236,0.99999969,7.498942e+08,63,140,0.817377,1.0,in_box
s_fixj_a2_fs_27c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,27,1.80,1.011220e-03,1.009820e-03,1.392020e-06,4.389,0.8046,0.9954,0.8452,1.787370e-03,3.217260e-03,0,0,-2.739,3.6556,3.7096,-107.7303,-0.0002,6.9554,49.0942,14.307,5.6591,4.4816,4.5784,4.5784,0.0968,5.7684,5.7684,5.6591,3.6556,1.6364978,1.00000791,0,11,0.72952,-7.31335611,0.99999971,7.498942e+08,63,140,0.817377,1.0,in_box
s_fixj_a2_fs_27c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,27,1.98,1.033320e-03,1.031890e-03,1.436860e-06,4.4849,0.9688,1.0112,0.8452,1.825410e-03,3.614320e-03,0,0,-2.7396,3.7397,3.7931,-107.9584,-0.0002,7.0388,49.2939,14.3906,5.6508,4.4763,4.573,4.573,0.0967,5.7601,5.7601,5.6508,3.7397,1.61459091,1.00000751,0,11,0.729469,-7.32687721,0.99999973,7.498942e+08,63,140,0.817375,1.0,in_box
s_fixj_a2_fs_125c_vdd1.62v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,125,1.62,1.000810e-03,9.984500e-04,2.352380e-06,4.3438,0.7247,0.8953,0.7592,1.779880e-03,2.883400e-03,0,0,-2.7458,2.1256,2.1889,-105.5568,-0.0003,5.4175,47.21,12.7684,5.8473,4.6164,5.5649,5.5649,0.9486,6.9054,6.9054,6.7869,2.1256,1.64670195,1.00000863,0,11,0.72894,-7.63023579,0.99999972,7.498942e+08,62,140,0.821512,1.0,in_box
s_fixj_a2_fs_125c_vdd1.80v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,125,1.80,1.019840e-03,1.017430e-03,2.415360e-06,4.4264,0.8888,0.9113,0.7593,1.815370e-03,3.267670e-03,0,0,-2.7463,2.2117,2.2745,-105.9322,-0.0003,5.5031,47.4438,12.8542,5.839,4.611,5.559,5.559,0.948,6.8965,6.8965,6.7781,2.2117,1.6449636,1.00000833,0,11,0.728903,-7.92236955,0.99999972,7.498942e+08,62,140,0.8215,1.0,in_box
s_fixj_a2_fs_125c_vdd1.98v,s_fixj_a2,A1-fixJc,1stage,2,1,-,-,2,0.2304,512,fs,125,1.98,1.039500e-03,1.037040e-03,2.480490e-06,4.5117,1.0528,0.9272,0.7593,1.851230e-03,3.665430e-03,0,0,-2.7471,2.2978,2.3602,-106.1915,-0.0002,5.5882,47.6766,12.9395,5.8307,4.6057,5.5531,5.5531,0.9475,6.8876,6.8876,6.7692,2.2978,1.61357348,1.00000777,0,11,0.728831,-8.118389,0.99999971,7.498942e+08,62,140,0.821487,1.0,in_box
s_fixj_a4_typ_-40c_vdd1.62v,s_fixj_a4,A1-fixJc,1stage,4,1,-,-,4,0.4608,512,typ,-40,1.62,1.952900e-03,1.951460e-03,1.400970e-06,4.2381,0.5874,1.0326,0.8986,2.697500e-03,4.369940e-03,0,0,-2.8562,9.1462,9.1718,-102.3069,-0.001,12.3082,48.491,19.675,3.8347,3.24,2.7676,2.7676,-0.4724,3.3043,3.3043,3.2254,9.1718,2.1113523,1.00004731,0,11,0.719669,-3.87491974,0.99999831,7.943282e+08,63,140,0.813972,1.0,in_box
