point_id,corner_label,temp_c,vdd_v,nfmin_sp_db_committed,nfmin290_db_derived,nfmin_reref_delta_db,nf290_db_committed,s21_db_committed_min,s11_db_committed_worst,s22_db_committed_worst,gain_in_match_only_db,ga_max_ideal_db,ga_max_q3_db,ga_max_q5_db,ga_max_q8_db,ga_max_q10_db,ga_max_q15_db,ga_max_q20_db,ga_max_q30_db,ga_max_q50_db
sp_sf_125c_vdd1.80v,sf,125,1.80,2.4721,3.1237,+0.6516,3.3949,10.7522,-3.1202,-0.0046,13.6463,42.9967,15.7741,17.9871,20.0201,20.9837,22.7310,23.9668,25.7007,27.8655
sp_sf_125c_vdd1.98v,sf,125,1.98,2.4703,3.1215,+0.6512,3.3908,10.7960,-3.1179,-0.0045,13.6927,43.2059,15.8211,18.0343,20.0676,21.0315,22.7793,24.0156,25.7504,27.9172
sp_sf_27c_vdd1.62v,sf,27,1.62,2.3837,2.4474,+0.0637,2.6595,11.4228,-3.0709,-0.0046,14.3658,43.7502,16.4952,18.7083,20.7413,21.7050,23.4524,24.6883,26.4223,28.5876
sp_sf_27c_vdd1.80v,sf,27,1.80,2.3817,2.4454,+0.0637,2.6560,11.4601,-3.0657,-0.0044,14.4086,43.9460,16.5385,18.7518,20.7851,21.7490,23.4968,24.7332,26.4681,28.6352
sp_sf_27c_vdd1.98v,sf,27,1.98,2.3797,2.4434,+0.0637,2.6523,11.4969,-3.0624,-0.0043,14.4488,44.1276,16.5793,18.7927,20.8263,21.7903,23.5386,24.7754,26.5111,28.6798
sp_typ_-40c_vdd1.62v,typ,-40,1.62,2.3454,1.9748,-0.3706,2.1530,11.8455,-3.0208,-0.0045,14.8391,44.3412,16.9696,19.1828,21.2161,22.1799,23.9276,25.1639,26.8986,29.0653
sp_typ_-40c_vdd1.80v,typ,-40,1.80,2.3428,1.9725,-0.3703,2.1493,11.8775,-3.0154,-0.0043,14.8766,44.5182,17.0077,19.2211,21.2546,22.2186,23.9667,25.2034,26.9389,29.1072
sp_typ_-40c_vdd1.98v,typ,-40,1.98,2.3401,1.9701,-0.3700,2.1455,11.9091,-3.0117,-0.0042,14.9121,44.6819,17.0437,19.2572,21.2909,22.2551,24.0036,25.2406,26.9769,29.1466
sp_typ_125c_vdd1.62v,typ,125,1.62,2.4739,3.1258,+0.6519,3.3989,10.7073,-3.1252,-0.0048,13.5963,42.7710,15.7234,17.9362,19.9688,20.9323,22.6790,23.9142,25.6470,27.8097
sp_typ_125c_vdd1.80v,typ,125,1.80,2.4721,3.1237,+0.6516,3.3948,10.7524,-3.1203,-0.0046,13.6464,42.9969,15.7742,17.9873,20.0203,20.9839,22.7312,23.9670,25.7008,27.8657
