source_record,corner_label,temp_c,nx,vce_v,scope,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db_committed_ambient_source,noise_optimum_nf_db_corrected_fixed_t0,noise_optimum_nf_delta_db,noise_optimum_gain_db,noise_optimum_ft_hz,noise_optimum_validity_flags
20260910-200059-7da7038,typ,125,1,1.2,in_box,12,22.956771,7.907990,7.672153,-0.235837,6.470330,3.51010E+11,
20260910-200059-7da7038,typ,125,1,1.4,all,26,47.160590,7.503240,7.243665,-0.259575,8.273510,2.7619E+11,ic_high
20260910-200059-7da7038,typ,125,1,1.4,in_box,12,24.044358,7.886820,7.649799,-0.237021,6.570560,3.55007E+11,
20260910-200059-7da7038,wcs,-40,1,0.8,all,26,27.718056,6.703770,6.906067,0.202297,6.028200,3.72924E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,-40,1,0.8,in_box,16,9.655642,7.491530,7.660913,0.169383,3.800320,3.73827E+11,
20260910-200059-7da7038,wcs,-40,1,1.0,all,26,28.895747,6.673000,6.876702,0.203702,6.112320,3.86762E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,-40,1,1.0,in_box,16,9.959201,7.464180,7.634613,0.170433,3.870130,3.81772E+11,
20260910-200059-7da7038,wcs,-40,1,1.2,all,26,30.196962,6.643900,6.848940,0.205040,6.199600,3.92139E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,-40,1,1.2,in_box,16,10.285417,7.436020,7.607540,0.171520,3.942160,3.87856E+11,
20260910-200059-7da7038,wcs,-40,1,1.4,all,26,31.644531,6.617130,6.823408,0.206278,6.290610,3.93448E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,-40,1,1.4,in_box,16,10.638281,7.407080,7.579724,0.172644,4.016200,3.92809E+11,
20260910-200059-7da7038,wcs,125,1,0.8,all,26,30.846701,8.578410,8.377104,-0.201306,5.864090,2.18635E+11,ic_high
20260910-200059-7da7038,wcs,125,1,0.8,in_box,14,23.159288,8.749870,8.556533,-0.193337,5.289040,2.5392E+11,
20260910-200059-7da7038,wcs,125,1,1.0,all,26,40.744878,8.513460,8.309048,-0.204412,6.385560,1.98989E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,125,1,1.0,in_box,14,23.982813,8.740340,8.546568,-0.193772,5.351200,2.81186E+11,
20260910-200059-7da7038,wcs,125,1,1.2,all,26,42.471701,8.533730,8.330292,-0.203438,6.518000,2.2389E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,125,1,1.2,in_box,14,24.873611,8.733310,8.539217,-0.194093,5.411020,2.93316E+11,
20260910-200059-7da7038,wcs,125,1,1.4,all,26,39.443316,8.572780,8.371206,-0.201574,6.357540,2.6346E+11,ic_high;vbe_high
20260910-200059-7da7038,wcs,125,1,1.4,in_box,14,25.842448,8.728740,8.534438,-0.194302,5.471100,2.97723E+11,
20260918-203652-4293920,bcs,-40,1,0.6,all,26,33.907986,4.695630,5.012596,0.316966,9.818290,4.363E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,1,0.6,in_box,16,16.221354,5.215330,5.497684,0.282354,8.193150,5.66927E+11,
20260918-203652-4293920,bcs,-40,1,0.8,all,26,43.574045,4.539350,4.867502,0.328152,10.515000,4.54116E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,1,0.8,in_box,16,17.090191,5.181940,5.466403,0.284463,8.313550,5.81921E+11,
20260918-203652-4293920,bcs,-40,1,1.0,all,26,55.637500,4.445540,4.780588,0.335048,11.004700,3.77504E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,1,1.0,in_box,16,18.075521,5.146910,5.433602,0.286692,8.441550,5.90335E+11,
20260918-203652-4293920,bcs,-40,1,1.2,all,26,60.929688,4.444730,4.779838,0.335108,11.206200,3.57543E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,1,1.2,in_box,16,19.205122,5.110080,5.399135,0.289055,8.578620,5.96037E+11,
20260918-203652-4293920,bcs,-40,1,1.4,all,26,56.409462,4.498390,4.829536,0.331146,11.052800,4.03682E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,1,1.4,in_box,16,20.518056,5.071360,5.362918,0.291558,8.725970,6.00167E+11,
20260918-203652-4293920,bcs,-40,8,0.6,all,26,28.753255,1.246390,1.919077,0.672687,27.324300,5.59277E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,8,0.6,in_box,16,16.808268,1.274050,1.942779,0.668729,26.104700,5.98167E+11,
20260918-203652-4293920,bcs,-40,8,0.8,all,26,24.248589,1.256490,1.927730,0.671240,26.992200,6.06705E+11,vbe_high
20260918-203652-4293920,bcs,-40,8,0.8,in_box,16,17.989692,1.273010,1.941888,0.668878,26.263100,6.15516E+11,
20260918-203652-4293920,bcs,-40,8,1.0,all,26,26.352648,1.266330,1.936162,0.669832,27.153700,6.10843E+11,ic_high;vbe_high
20260918-203652-4293920,bcs,-40,8,1.0,in_box,16,19.387695,1.273560,1.942359,0.668799,26.426600,6.23919E+11,
20260918-203652-4293920,bcs,-40,8,1.2,all,26,21.070638,1.276670,1.945025,0.668355,26.600900,6.27953E+11,
20260918-203652-4293920,bcs,-40,8,1.2,in_box,16,21.070638,1.276670,1.945025,0.668355,26.600900,6.27953E+11,
20260918-203652-4293920,bcs,-40,8,1.4,all,24,23.169379,1.284080,1.951379,0.667299,26.784800,6.28257E+11,
20260918-203652-4293920,bcs,-40,8,1.4,in_box,16,23.169379,1.284080,1.951379,0.667299,26.784800,6.28257E+11,
20260918-203652-4293920,bcs,125,1,0.6,all,26,31.907292,6.711930,6.398563,-0.313367,8.356190,2.53396E+11,ic_high
20260918-203652-4293920,bcs,125,1,0.6,in_box,11,21.406424,7.026370,6.735640,-0.290730,7.741740,3.60543E+11,
20260918-203652-4293920,bcs,125,1,0.8,all,26,40.460156,6.455640,6.122475,-0.333165,9.675590,2.94798E+11,ic_high
20260918-203652-4293920,bcs,125,1,0.8,in_box,11,22.475694,6.992060,6.698944,-0.293116,7.889640,3.95946E+11,
20260918-203652-4293920,bcs,125,1,1.0,all,26,50.742535,6.357010,6.015883,-0.341127,10.323500,2.66196E+11,ic_high
20260918-203652-4293920,bcs,125,1,1.0,in_box,11,23.672396,6.960020,6.664658,-0.295362,8.028570,4.14704E+11,
20260918-203652-4293920,bcs,125,1,1.2,all,26,63.490885,6.364740,6.024244,-0.340496,10.783300,2.05162E+11,ic_high
20260918-203652-4293920,bcs,125,1,1.2,in_box,11,25.029687,6.928000,6.630376,-0.297624,8.174410,4.20584E+11,
20260918-203652-4293920,bcs,125,1,1.4,all,26,59.220833,6.426260,6.090744,-0.335516,10.625900,2.53756E+11,ic_high
20260918-203652-4293920,bcs,125,1,1.4,in_box,10,20.462587,7.180860,6.900625,-0.280235,7.387110,4.24389E+11,
20260918-203652-4293920,bcs,125,8,0.6,all,26,22.118381,1.971960,0.962807,-1.009153,25.294300,3.70255E+11,
20260918-203652-4293920,bcs,125,8,0.6,in_box,11,22.118381,1.971960,0.962807,-1.009153,25.294300,3.70255E+11,
20260918-203652-4293920,bcs,125,8,0.8,all,26,23.562500,1.990990,0.986801,-1.004189,25.583600,4.07572E+11,
20260918-203652-4293920,bcs,125,8,0.8,in_box,11,23.562500,1.990990,0.986801,-1.004189,25.583600,4.07572E+11,
20260918-203652-4293920,bcs,125,8,1.0,all,26,19.531793,2.002830,1.001716,-1.001114,24.940700,4.324E+11,
20260918-203652-4293920,bcs,125,8,1.0,in_box,11,19.531793,2.002830,1.001716,-1.001114,24.940700,4.324E+11,
20260918-203652-4293920,bcs,125,8,1.2,all,26,20.902995,2.018210,1.021074,-0.997136,25.117300,4.394E+11,
20260918-203652-4293920,bcs,125,8,1.2,in_box,10,20.902995,2.018210,1.021074,-0.997136,25.117300,4.394E+11,
20260918-203652-4293920,bcs,125,8,1.4,all,26,16.554036,2.038310,1.046347,-0.991963,24.215200,4.34167E+11,
20260918-203652-4293920,bcs,125,8,1.4,in_box,10,16.554036,2.038310,1.046347,-0.991963,24.215200,4.34167E+11,
20260918-203652-4293920,fs,-40,1,0.6,all,26,29.590451,5.759400,6.009445,0.250045,7.555510,3.71305E+11,ic_high;vbe_high
20260918-203652-4293920,fs,-40,1,0.6,in_box,16,12.148438,6.398400,6.615072,0.216672,5.734170,4.51494E+11,
20260918-203652-4293920,fs,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260918-203652-4293920,fs,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260918-203652-4293920,fs,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260918-203652-4293920,fs,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260918-203652-4293920,fs,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260918-203652-4293920,fs,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
20260918-203652-4293920,fs,-40,1,1.4,all,26,43.642448,5.532920,5.795953,0.263033,8.494280,4.12937E+11,ic_high;vbe_high
20260918-203652-4293920,fs,-40,1,1.4,in_box,16,14.357118,6.271550,6.494482,0.222932,6.107120,4.84995E+11,
20260918-203652-4293920,fs,-40,8,0.6,all,26,20.959635,1.544410,2.175570,0.631160,24.816900,4.78279E+11,vbe_high
20260918-203652-4293920,fs,-40,8,0.6,in_box,16,12.470812,1.578300,2.204892,0.626592,23.646400,4.80273E+11,
20260918-203652-4293920,fs,-40,8,0.8,all,26,22.199110,1.552990,2.182991,0.630001,24.937000,4.98799E+11,vbe_high
20260918-203652-4293920,fs,-40,8,0.8,in_box,16,13.101128,1.576130,2.203013,0.626883,23.760600,4.95376E+11,
20260918-203652-4293920,fs,-40,8,1.0,all,26,18.488607,1.558750,2.187973,0.629223,24.555800,5.11825E+11,vbe_high
20260918-203652-4293920,fs,-40,8,1.0,in_box,16,13.810113,1.574710,2.201784,0.627074,23.875500,5.04386E+11,
20260918-203652-4293920,fs,-40,8,1.2,all,26,19.682183,1.565710,2.193995,0.628285,24.671500,5.16596E+11,vbe_high
20260918-203652-4293920,fs,-40,8,1.2,in_box,16,14.617188,1.574360,2.201481,0.627121,23.994200,5.10764E+11,
20260918-203652-4293920,fs,-40,8,1.4,all,26,15.541124,1.575610,2.202563,0.626953,24.111800,5.1553E+11,
20260918-203652-4293920,fs,-40,8,1.4,in_box,16,15.541124,1.575610,2.202563,0.626953,24.111800,5.1553E+11,
20260918-203652-4293920,fs,125,1,0.6,all,26,24.360677,7.820810,7.580056,-0.240754,6.577890,2.64792E+11,
20260918-203652-4293920,fs,125,1,0.6,in_box,13,24.360677,7.820810,7.580056,-0.240754,6.577890,2.64792E+11,
20260918-203652-4293920,fs,125,1,0.8,all,26,35.010243,7.533660,7.275952,-0.257708,7.600910,2.56067E+11,ic_high
20260918-203652-4293920,fs,125,1,0.8,in_box,13,25.435590,7.766030,7.522133,-0.243897,6.854730,3.0835E+11,
20260918-203652-4293920,fs,125,1,1.0,all,26,47.981163,7.443110,7.179805,-0.263305,8.169240,2.04906E+11,ic_high;vbe_high
20260918-203652-4293920,fs,125,1,1.0,in_box,12,21.976736,7.930020,7.695409,-0.234611,6.373770,3.43086E+11,
20260918-203652-4293920,fs,125,1,1.2,all,26,50.731597,7.450260,7.187401,-0.262859,8.454300,2.30318E+11,ic_high;vbe_high
20260918-203652-4293920,fs,125,1,1.2,in_box,12,22.956771,7.907990,7.672153,-0.235837,6.470330,3.51010E+11,
20260918-203652-4293920,fs,125,1,1.4,all,26,47.160590,7.503240,7.243665,-0.259575,8.273510,2.7619E+11,ic_high
20260918-203652-4293920,fs,125,1,1.4,in_box,12,24.044358,7.886820,7.649799,-0.237021,6.570560,3.55007E+11,
20260918-203652-4293920,fs,125,8,0.6,all,26,16.879774,2.394560,1.489486,-0.905074,23.052600,3.05884E+11,
20260918-203652-4293920,fs,125,8,0.6,in_box,13,16.879774,2.394560,1.489486,-0.905074,23.052600,3.05884E+11,
20260918-203652-4293920,fs,125,8,0.8,all,26,17.692383,2.410440,1.509037,-0.901403,23.239000,3.40681E+11,
20260918-203652-4293920,fs,125,8,0.8,in_box,12,17.692383,2.410440,1.509037,-0.901403,23.239000,3.40681E+11,
20260918-203652-4293920,fs,125,8,1.0,all,26,14.563043,2.420000,1.520799,-0.899201,22.593300,3.51372E+11,
20260918-203652-4293920,fs,125,8,1.0,in_box,12,14.563043,2.420000,1.520799,-0.899201,22.593300,3.51372E+11,
20260918-203652-4293920,fs,125,8,1.2,all,26,15.289062,2.431270,1.534658,-0.896612,22.716300,3.58272E+11,
20260918-203652-4293920,fs,125,8,1.2,in_box,12,15.289062,2.431270,1.534658,-0.896612,22.716300,3.58272E+11,
20260918-203652-4293920,fs,125,8,1.4,all,26,16.107530,2.446230,1.553041,-0.893189,22.830000,3.63183E+11,
20260918-203652-4293920,fs,125,8,1.4,in_box,11,16.107530,2.446230,1.553041,-0.893189,22.830000,3.63183E+11,
20260918-203652-4293920,sf,-40,1,0.6,all,26,29.590451,5.759400,6.009445,0.250045,7.555510,3.71305E+11,ic_high;vbe_high
20260918-203652-4293920,sf,-40,1,0.6,in_box,16,12.148438,6.398400,6.615072,0.216672,5.734170,4.51494E+11,
20260918-203652-4293920,sf,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260918-203652-4293920,sf,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260918-203652-4293920,sf,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260918-203652-4293920,sf,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260918-203652-4293920,sf,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260918-203652-4293920,sf,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
20260918-203652-4293920,sf,-40,1,1.4,all,26,43.642448,5.532920,5.795953,0.263033,8.494280,4.12937E+11,ic_high;vbe_high
20260918-203652-4293920,sf,-40,1,1.4,in_box,16,14.357118,6.271550,6.494482,0.222932,6.107120,4.84995E+11,
20260918-203652-4293920,sf,-40,8,0.6,all,26,20.959635,1.544410,2.175570,0.631160,24.816900,4.78279E+11,vbe_high
20260918-203652-4293920,sf,-40,8,0.6,in_box,16,12.470812,1.578300,2.204892,0.626592,23.646400,4.80273E+11,
20260918-203652-4293920,sf,-40,8,0.8,all,26,22.199110,1.552990,2.182991,0.630001,24.937000,4.98799E+11,vbe_high
20260918-203652-4293920,sf,-40,8,0.8,in_box,16,13.101128,1.576130,2.203013,0.626883,23.760600,4.95376E+11,
20260918-203652-4293920,sf,-40,8,1.0,all,26,18.488607,1.558750,2.187973,0.629223,24.555800,5.11825E+11,vbe_high
20260918-203652-4293920,sf,-40,8,1.0,in_box,16,13.810113,1.574710,2.201784,0.627074,23.875500,5.04386E+11,
20260918-203652-4293920,sf,-40,8,1.2,all,26,19.682183,1.565710,2.193995,0.628285,24.671500,5.16596E+11,vbe_high
20260918-203652-4293920,sf,-40,8,1.2,in_box,16,14.617188,1.574360,2.201481,0.627121,23.994200,5.10764E+11,
20260918-203652-4293920,sf,-40,8,1.4,all,26,15.541124,1.575610,2.202563,0.626953,24.111800,5.1553E+11,
20260918-203652-4293920,sf,-40,8,1.4,in_box,16,15.541124,1.575610,2.202563,0.626953,24.111800,5.1553E+11,
20260918-203652-4293920,sf,125,1,0.6,all,26,24.360677,7.820810,7.580056,-0.240754,6.577890,2.64792E+11,
20260918-203652-4293920,sf,125,1,0.6,in_box,13,24.360677,7.820810,7.580056,-0.240754,6.577890,2.64792E+11,
20260918-203652-4293920,sf,125,1,0.8,all,26,35.010243,7.533660,7.275952,-0.257708,7.600910,2.56067E+11,ic_high
20260918-203652-4293920,sf,125,1,0.8,in_box,13,25.435590,7.766030,7.522133,-0.243897,6.854730,3.0835E+11,
20260918-203652-4293920,sf,125,1,1.0,all,26,47.981163,7.443110,7.179805,-0.263305,8.169240,2.04906E+11,ic_high;vbe_high
20260918-203652-4293920,sf,125,1,1.0,in_box,12,21.976736,7.930020,7.695409,-0.234611,6.373770,3.43086E+11,
20260918-203652-4293920,sf,125,1,1.2,all,26,50.731597,7.450260,7.187401,-0.262859,8.454300,2.30318E+11,ic_high;vbe_high
20260918-203652-4293920,sf,125,1,1.2,in_box,12,22.956771,7.907990,7.672153,-0.235837,6.470330,3.51010E+11,
20260918-203652-4293920,sf,125,1,1.4,all,26,47.160590,7.503240,7.243665,-0.259575,8.273510,2.7619E+11,ic_high
20260918-203652-4293920,sf,125,1,1.4,in_box,12,24.044358,7.886820,7.649799,-0.237021,6.570560,3.55007E+11,
20260918-203652-4293920,sf,125,8,0.6,all,26,16.879774,2.394560,1.489486,-0.905074,23.052600,3.05884E+11,
20260918-203652-4293920,sf,125,8,0.6,in_box,13,16.879774,2.394560,1.489486,-0.905074,23.052600,3.05884E+11,
20260918-203652-4293920,sf,125,8,0.8,all,26,17.692383,2.410440,1.509037,-0.901403,23.239000,3.40681E+11,
20260918-203652-4293920,sf,125,8,0.8,in_box,12,17.692383,2.410440,1.509037,-0.901403,23.239000,3.40681E+11,
20260918-203652-4293920,sf,125,8,1.0,all,26,14.563043,2.420000,1.520799,-0.899201,22.593300,3.51372E+11,
20260918-203652-4293920,sf,125,8,1.0,in_box,12,14.563043,2.420000,1.520799,-0.899201,22.593300,3.51372E+11,
20260918-203652-4293920,sf,125,8,1.2,all,26,15.289062,2.431270,1.534658,-0.896612,22.716300,3.58272E+11,
20260918-203652-4293920,sf,125,8,1.2,in_box,12,15.289062,2.431270,1.534658,-0.896612,22.716300,3.58272E+11,
20260918-203652-4293920,sf,125,8,1.4,all,26,16.107530,2.446230,1.553041,-0.893189,22.830000,3.63183E+11,
20260918-203652-4293920,sf,125,8,1.4,in_box,11,16.107530,2.446230,1.553041,-0.893189,22.830000,3.63183E+11,
20260918-203652-4293920,typ,-40,1,0.6,all,26,29.590451,5.759400,6.009445,0.250045,7.555510,3.71305E+11,ic_high;vbe_high
20260918-203652-4293920,typ,-40,1,0.6,in_box,16,12.148438,6.398400,6.615072,0.216672,5.734170,4.51494E+11,
20260918-203652-4293920,typ,-40,1,0.8,all,26,36.405816,5.604910,5.863745,0.258835,8.123560,4.12581E+11,ic_high;vbe_high
20260918-203652-4293920,typ,-40,1,0.8,in_box,16,12.624566,6.368490,6.586622,0.218132,5.821400,4.64257E+11,
20260918-203652-4293920,typ,-40,1,1.0,all,26,38.487760,5.575710,5.836240,0.260530,8.243960,4.21224E+11,ic_high;vbe_high
20260918-203652-4293920,typ,-40,1,1.0,in_box,16,13.145660,6.337460,6.557117,0.219657,5.912300,4.72328E+11,
20260918-203652-4293920,typ,-40,1,1.2,all,26,40.872830,5.551360,5.813312,0.261952,8.365160,4.21047E+11,ic_high;vbe_high
20260918-203652-4293920,typ,-40,1,1.2,in_box,16,13.720052,6.305120,6.526378,0.221258,6.007630,4.79411E+11,
