corner_label,temp_c,nx,vce_v,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db,noise_optimum_gain_db,noise_optimum_ft_hz,ft_peak_jc_ma_um2,ft_peak_hz
typ,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11
typ,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11
typ,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11
typ,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11
typ,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11
typ,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11
wcs,-40,1,0.8,26,27.7181,6.7038,6.0282,3.72924E+11,16.2587,3.9390e+11
wcs,-40,1,1.0,26,28.8957,6.6730,6.1123,3.86762E+11,20.6736,4.0263e+11
wcs,-40,1,1.2,26,30.1970,6.6439,6.1996,3.92139E+11,21.5142,4.0797e+11
wcs,-40,1,1.4,26,31.6445,6.6171,6.2906,3.93448E+11,18.2031,4.1186e+11
wcs,27,1,0.8,26,33.0944,7.4319,6.2954,2.85877E+11,17.4732,3.3669e+11
wcs,27,1,1.0,26,38.9860,7.3711,6.6224,2.89844E+11,18.0846,3.4765e+11
wcs,27,1,1.2,26,40.7437,7.3793,6.6914,2.99096E+11,18.7471,3.5368e+11
wcs,27,1,1.4,26,42.6908,7.3980,6.7554,3.03343E+11,19.4686,3.5771e+11
wcs,125,1,0.8,26,30.8467,8.5784,5.8641,2.18635E+11,16.2495,2.6954e+11
wcs,125,1,1.0,26,40.7449,8.5135,6.3856,1.98989E+11,20.2579,2.8729e+11
wcs,125,1,1.2,26,42.4717,8.5337,6.5180,2.2389E+11,20.9771,2.9519e+11
wcs,125,1,1.4,26,39.4433,8.5728,6.3575,2.6346E+11,21.7568,2.9976e+11
typ,27,8,1.0,26,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11
