corner_label,temp_c,nx,vce_v,n_points,noise_optimum_jc_ma_um2,noise_optimum_nf_db,noise_optimum_gain_db,noise_optimum_ft_hz,ft_peak_jc_ma_um2,ft_peak_hz,noise_optimum_validity_flags,n_points_in_box,in_box_noise_optimum_jc_ma_um2,in_box_noise_optimum_nf_db,in_box_noise_optimum_gain_db,in_box_noise_optimum_ft_hz,in_box_ft_peak_jc_ma_um2,in_box_ft_peak_hz
fs,-40,1,0.6,26,29.5905,5.7594,7.5555,3.71305E+11,16.0777,4.5861e+11,ic_high;vbe_high,16,12.1484,6.3984,5.7342,4.51494E+11,12.1484,4.5149e+11
fs,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11,ic_high;vbe_high,16,12.6246,6.3685,5.8214,4.64257E+11,12.6246,4.6426e+11
fs,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11,ic_high;vbe_high,16,13.1457,6.3375,5.9123,4.72328E+11,13.1457,4.7233e+11
fs,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11,ic_high;vbe_high,16,13.7201,6.3051,6.0076,4.79411E+11,13.7201,4.7941e+11
fs,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11,ic_high;vbe_high,16,14.3571,6.2716,6.1071,4.84995E+11,14.3571,4.8500e+11
fs,27,1,0.6,26,26.3096,6.6207,7.3344,3.51783E+11,17.5967,3.8397e+11,ic_high;vbe_high,16,21.8149,6.7558,6.9594,3.76965E+11,17.5967,3.8397e+11
fs,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11,ic_high;vbe_high,16,22.7664,6.7305,7.0508,4.01895E+11,18.3179,4.0583e+11
fs,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11,ic_high;vbe_high,16,23.8171,6.7064,7.1396,4.13774E+11,19.1096,4.1537e+11
fs,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11,ic_high;vbe_high,16,24.9876,6.6827,7.2328,4.18657E+11,19.9861,4.2092e+11
fs,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11,ic_high;vbe_high,15,20.9613,6.8382,6.7567,4.25146E+11,20.9613,4.2515e+11
fs,125,1,0.6,26,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11,,13,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11
fs,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11,ic_high,13,25.4356,7.7660,6.8547,3.0835E+11,17.0879,3.2628e+11
fs,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11,ic_high;vbe_high,12,21.9767,7.9300,6.3738,3.43086E+11,21.9767,3.4309e+11
fs,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11,ic_high;vbe_high,12,22.9568,7.9080,6.4703,3.51010E+11,22.9568,3.5101e+11
fs,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11,ic_high,12,24.0444,7.8868,6.5706,3.55007E+11,24.0444,3.5501e+11
sf,-40,1,0.6,26,29.5905,5.7594,7.5555,3.71305E+11,16.0777,4.5861e+11,ic_high;vbe_high,16,12.1484,6.3984,5.7342,4.51494E+11,12.1484,4.5149e+11
sf,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11,ic_high;vbe_high,16,12.6246,6.3685,5.8214,4.64257E+11,12.6246,4.6426e+11
sf,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11,ic_high;vbe_high,16,13.1457,6.3375,5.9123,4.72328E+11,13.1457,4.7233e+11
sf,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11,ic_high;vbe_high,16,13.7201,6.3051,6.0076,4.79411E+11,13.7201,4.7941e+11
sf,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11,ic_high;vbe_high,16,14.3571,6.2716,6.1071,4.84995E+11,14.3571,4.8500e+11
sf,27,1,0.6,26,26.3096,6.6207,7.3344,3.51783E+11,17.5967,3.8397e+11,ic_high;vbe_high,16,21.8149,6.7558,6.9594,3.76965E+11,17.5967,3.8397e+11
sf,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11,ic_high;vbe_high,16,22.7664,6.7305,7.0508,4.01895E+11,18.3179,4.0583e+11
sf,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11,ic_high;vbe_high,16,23.8171,6.7064,7.1396,4.13774E+11,19.1096,4.1537e+11
sf,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11,ic_high;vbe_high,16,24.9876,6.6827,7.2328,4.18657E+11,19.9861,4.2092e+11
sf,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11,ic_high;vbe_high,15,20.9613,6.8382,6.7567,4.25146E+11,20.9613,4.2515e+11
sf,125,1,0.6,26,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11,,13,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11
sf,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11,ic_high,13,25.4356,7.7660,6.8547,3.0835E+11,17.0879,3.2628e+11
sf,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11,ic_high;vbe_high,12,21.9767,7.9300,6.3738,3.43086E+11,21.9767,3.4309e+11
sf,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11,ic_high;vbe_high,12,22.9568,7.9080,6.4703,3.51010E+11,22.9568,3.5101e+11
sf,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11,ic_high,12,24.0444,7.8868,6.5706,3.55007E+11,24.0444,3.5501e+11
typ,-40,1,0.6,26,29.5905,5.7594,7.5555,3.71305E+11,16.0777,4.5861e+11,ic_high;vbe_high,16,12.1484,6.3984,5.7342,4.51494E+11,12.1484,4.5149e+11
typ,-40,1,0.8,26,36.4058,5.6049,8.1236,4.12581E+11,16.7617,4.7384e+11,ic_high;vbe_high,16,12.6246,6.3685,5.8214,4.64257E+11,12.6246,4.6426e+11
typ,-40,1,1.0,26,38.4878,5.5757,8.2440,4.21224E+11,17.5168,4.8324e+11,ic_high;vbe_high,16,13.1457,6.3375,5.9123,4.72328E+11,13.1457,4.7233e+11
typ,-40,1,1.2,26,40.8728,5.5514,8.3652,4.21047E+11,18.3562,4.8935e+11,ic_high;vbe_high,16,13.7201,6.3051,6.0076,4.79411E+11,13.7201,4.7941e+11
typ,-40,1,1.4,26,43.6424,5.5329,8.4943,4.12937E+11,19.2974,4.9358e+11,ic_high;vbe_high,16,14.3571,6.2716,6.1071,4.84995E+11,14.3571,4.8500e+11
typ,27,1,0.6,26,26.3096,6.6207,7.3344,3.51783E+11,17.5967,3.8397e+11,ic_high;vbe_high,16,21.8149,6.7558,6.9594,3.76965E+11,17.5967,3.8397e+11
typ,27,1,0.8,26,37.8499,6.3934,8.1109,3.25212E+11,18.3179,4.0583e+11,ic_high;vbe_high,16,22.7664,6.7305,7.0508,4.01895E+11,18.3179,4.0583e+11
typ,27,1,1.0,26,45.7835,6.3175,8.5356,3.15846E+11,19.1096,4.1537e+11,ic_high;vbe_high,16,23.8171,6.7064,7.1396,4.13774E+11,19.1096,4.1537e+11
typ,27,1,1.2,26,55.1439,6.3111,8.8593,2.76742E+11,19.9861,4.2092e+11,ic_high;vbe_high,16,24.9876,6.6827,7.2328,4.18657E+11,19.9861,4.2092e+11
typ,27,1,1.4,26,51.6898,6.3529,8.7391,3.12483E+11,20.9613,4.2515e+11,ic_high;vbe_high,15,20.9613,6.8382,6.7567,4.25146E+11,20.9613,4.2515e+11
typ,125,1,0.6,26,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11,,13,24.3607,7.8208,6.5779,2.64792E+11,16.4705,2.9383e+11
typ,125,1,0.8,26,35.0102,7.5337,7.6009,2.56067E+11,17.0879,3.2628e+11,ic_high,13,25.4356,7.7660,6.8547,3.0835E+11,17.0879,3.2628e+11
typ,125,1,1.0,26,47.9812,7.4431,8.1692,2.04906E+11,21.9767,3.4309e+11,ic_high;vbe_high,12,21.9767,7.9300,6.3738,3.43086E+11,21.9767,3.4309e+11
typ,125,1,1.2,26,50.7316,7.4503,8.4543,2.30318E+11,22.9568,3.5101e+11,ic_high;vbe_high,12,22.9568,7.9080,6.4703,3.51010E+11,22.9568,3.5101e+11
typ,125,1,1.4,26,47.1606,7.5032,8.2735,2.7619E+11,24.0444,3.5501e+11,ic_high,12,24.0444,7.8868,6.5706,3.55007E+11,24.0444,3.5501e+11
wcs,-40,1,0.6,26,26.6161,6.7899,5.6934,3.00619E+11,15.7120,3.7683e+11,ic_high;vbe_high,16,9.3726,7.5181,3.7326,3.63484E+11,9.3726,3.6348e+11
wcs,-40,1,0.8,26,27.7181,6.7038,6.0282,3.72924E+11,16.2587,3.9390e+11,ic_high;vbe_high,16,9.6556,7.4915,3.8003,3.73827E+11,9.6556,3.7383e+11
wcs,-40,1,1.0,26,28.8957,6.6730,6.1123,3.86762E+11,20.6736,4.0263e+11,ic_high;vbe_high,16,9.9592,7.4642,3.8701,3.81772E+11,9.9592,3.8177e+11
wcs,-40,1,1.2,26,30.1970,6.6439,6.1996,3.92139E+11,21.5142,4.0797e+11,ic_high;vbe_high,16,10.2854,7.4360,3.9422,3.87856E+11,10.2854,3.8786e+11
wcs,-40,1,1.4,26,31.6445,6.6171,6.2906,3.93448E+11,18.2031,4.1186e+11,ic_high;vbe_high,16,10.6383,7.4071,4.0162,3.92809E+11,10.6383,3.9281e+11
wcs,27,1,0.6,26,24.0430,7.6293,5.6151,2.85063E+11,13.6322,3.1592e+11,vbe_high,16,16.9067,7.8702,4.9589,3.15473E+11,13.6322,3.1592e+11
wcs,27,1,0.8,26,33.0944,7.4319,6.2954,2.85877E+11,17.4732,3.3669e+11,ic_high;vbe_high,16,17.4732,7.8479,5.0240,3.36692E+11,17.4732,3.3669e+11
wcs,27,1,1.0,26,38.9860,7.3711,6.6224,2.89844E+11,18.0846,3.4765e+11,ic_high;vbe_high,16,18.0846,7.8259,5.0897,3.47646E+11,18.0846,3.4765e+11
wcs,27,1,1.2,26,40.7437,7.3793,6.6914,2.99096E+11,18.7471,3.5368e+11,ic_high;vbe_high,16,18.7471,7.8040,5.1574,3.53685E+11,18.7471,3.5368e+11
wcs,27,1,1.4,26,42.6908,7.3980,6.7554,3.03343E+11,19.4686,3.5771e+11,ic_high;vbe_high,16,19.4686,7.7823,5.2274,3.5771E+11,19.4686,3.5771e+11
wcs,125,1,0.6,26,22.3439,8.8236,4.9636,2.13113E+11,12.7915,2.4080e+11,,15,22.3439,8.8236,4.9636,2.13113E+11,12.7915,2.4080e+11
wcs,125,1,0.8,26,30.8467,8.5784,5.8641,2.18635E+11,16.2495,2.6954e+11,ic_high,14,23.1593,8.7499,5.2890,2.5392E+11,16.2495,2.6954e+11
wcs,125,1,1.0,26,40.7449,8.5135,6.3856,1.98989E+11,20.2579,2.8729e+11,ic_high;vbe_high,14,23.9828,8.7403,5.3512,2.81186E+11,20.2579,2.8729e+11
wcs,125,1,1.2,26,42.4717,8.5337,6.5180,2.2389E+11,20.9771,2.9519e+11,ic_high;vbe_high,14,24.8736,8.7333,5.4110,2.93316E+11,20.9771,2.9519e+11
wcs,125,1,1.4,26,39.4433,8.5728,6.3575,2.6346E+11,21.7568,2.9976e+11,ic_high;vbe_high,14,25.8424,8.7287,5.4711,2.97723E+11,21.7568,2.9976e+11
bcs,-40,8,0.6,26,28.7533,1.2464,27.3243,5.59277E+11,16.8083,5.9817e+11,ic_high;vbe_high,16,16.8083,1.2740,26.1047,5.98167E+11,16.8083,5.9817e+11
bcs,-40,8,0.8,26,24.2486,1.2565,26.9922,6.06705E+11,17.9897,6.1552e+11,vbe_high,16,17.9897,1.2730,26.2631,6.15516E+11,17.9897,6.1552e+11
bcs,-40,8,1.0,26,26.3526,1.2663,27.1537,6.10843E+11,19.3877,6.2392e+11,ic_high;vbe_high,16,19.3877,1.2736,26.4266,6.23919E+11,19.3877,6.2392e+11
bcs,-40,8,1.2,26,21.0706,1.2767,26.6009,6.27953E+11,21.0706,6.2795e+11,,16,21.0706,1.2767,26.6009,6.27953E+11,21.0706,6.2795e+11
bcs,-40,8,1.4,24,23.1694,1.2841,26.7848,6.28257E+11,23.1694,6.2826e+11,,16,23.1694,1.2841,26.7848,6.28257E+11,23.1694,6.2826e+11
bcs,27,8,0.6,26,24.2402,1.5329,26.5317,4.84769E+11,18.6976,4.9836e+11,,15,24.2402,1.5329,26.5317,4.84769E+11,18.6976,4.9836e+11
bcs,27,8,0.8,26,19.9492,1.5481,25.9991,5.19808E+11,19.9492,5.1981e+11,,15,19.9492,1.5481,25.9991,5.19808E+11,19.9492,5.1981e+11
bcs,27,8,1.0,26,21.4160,1.5575,26.1615,5.28268E+11,21.4160,5.2827e+11,,14,21.4160,1.5575,26.1615,5.28268E+11,21.4160,5.2827e+11
bcs,27,8,1.2,26,23.1640,1.5720,26.3290,5.32178E+11,23.1640,5.3218e+11,,14,23.1640,1.5720,26.3290,5.32178E+11,23.1640,5.3218e+11
bcs,27,8,1.4,26,17.9877,1.5832,25.5337,5.33137E+11,17.9877,5.3314e+11,,14,17.9877,1.5832,25.5337,5.33137E+11,17.9877,5.3314e+11
bcs,125,8,0.6,26,22.1184,1.9720,25.2943,3.70255E+11,17.3362,3.8096e+11,,11,22.1184,1.9720,25.2943,3.70255E+11,17.3362,3.8096e+11
bcs,125,8,0.8,26,23.5625,1.9910,25.5836,4.07572E+11,18.3575,4.1662e+11,,11,23.5625,1.9910,25.5836,4.07572E+11,18.3575,4.1662e+11
bcs,125,8,1.0,26,19.5318,2.0028,24.9407,4.324E+11,19.5318,4.3240e+11,,11,19.5318,2.0028,24.9407,4.324E+11,19.5318,4.3240e+11
bcs,125,8,1.2,26,20.9030,2.0182,25.1173,4.394E+11,20.9030,4.3940e+11,,10,20.9030,2.0182,25.1173,4.394E+11,20.9030,4.3940e+11
bcs,125,8,1.4,26,16.5540,2.0383,24.2152,4.34167E+11,22.5332,4.4309e+11,,10,16.5540,2.0383,24.2152,4.34167E+11,22.5332,4.4309e+11
fs,-40,8,0.6,26,20.9596,1.5444,24.8169,4.78279E+11,16.5409,4.8578e+11,vbe_high,16,12.4708,1.5783,23.6464,4.80273E+11,12.4708,4.8027e+11
fs,-40,8,0.8,26,22.1991,1.5530,24.9370,4.98799E+11,17.4519,5.0342e+11,vbe_high,16,13.1011,1.5761,23.7606,4.95376E+11,13.1011,4.9538e+11
fs,-40,8,1.0,26,18.4886,1.5588,24.5558,5.11825E+11,18.4886,5.1182e+11,vbe_high,16,13.8101,1.5747,23.8755,5.04386E+11,13.8101,5.0439e+11
fs,-40,8,1.2,26,19.6822,1.5657,24.6715,5.16596E+11,19.6822,5.1660e+11,vbe_high,16,14.6172,1.5744,23.9942,5.10764E+11,14.6172,5.1076e+11
fs,-40,8,1.4,26,15.5411,1.5756,24.1118,5.1553E+11,21.0806,5.1909e+11,,16,15.5411,1.5756,24.1118,5.1553E+11,15.5411,5.1553e+11
fs,27,8,0.6,26,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11,,16,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11
fs,27,8,0.8,26,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11,,16,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11
fs,27,8,1.0,26,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11,,16,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11
fs,27,8,1.2,26,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11,,15,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11
fs,27,8,1.4,26,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11,,15,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11
fs,125,8,0.6,26,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11,,13,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11
fs,125,8,0.8,26,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11,,12,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11
fs,125,8,1.0,26,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11,,12,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11
fs,125,8,1.2,26,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11,,12,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11
fs,125,8,1.4,26,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11,,11,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11
sf,-40,8,0.6,26,20.9596,1.5444,24.8169,4.78279E+11,16.5409,4.8578e+11,vbe_high,16,12.4708,1.5783,23.6464,4.80273E+11,12.4708,4.8027e+11
sf,-40,8,0.8,26,22.1991,1.5530,24.9370,4.98799E+11,17.4519,5.0342e+11,vbe_high,16,13.1011,1.5761,23.7606,4.95376E+11,13.1011,4.9538e+11
sf,-40,8,1.0,26,18.4886,1.5588,24.5558,5.11825E+11,18.4886,5.1182e+11,vbe_high,16,13.8101,1.5747,23.8755,5.04386E+11,13.8101,5.0439e+11
sf,-40,8,1.2,26,19.6822,1.5657,24.6715,5.16596E+11,19.6822,5.1660e+11,vbe_high,16,14.6172,1.5744,23.9942,5.10764E+11,14.6172,5.1076e+11
sf,-40,8,1.4,26,15.5411,1.5756,24.1118,5.1553E+11,21.0806,5.1909e+11,,16,15.5411,1.5756,24.1118,5.1553E+11,15.5411,5.1553e+11
sf,27,8,0.6,26,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11,,16,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11
sf,27,8,0.8,26,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11,,16,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11
sf,27,8,1.0,26,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11,,16,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11
sf,27,8,1.2,26,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11,,15,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11
sf,27,8,1.4,26,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11,,15,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11
sf,125,8,0.6,26,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11,,13,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11
sf,125,8,0.8,26,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11,,12,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11
sf,125,8,1.0,26,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11,,12,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11
sf,125,8,1.2,26,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11,,12,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11
sf,125,8,1.4,26,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11,,11,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11
typ,-40,8,0.6,26,20.9596,1.5444,24.8169,4.78279E+11,16.5409,4.8578e+11,vbe_high,16,12.4708,1.5783,23.6464,4.80273E+11,12.4708,4.8027e+11
typ,-40,8,0.8,26,22.1991,1.5530,24.9370,4.98799E+11,17.4519,5.0342e+11,vbe_high,16,13.1011,1.5761,23.7606,4.95376E+11,13.1011,4.9538e+11
typ,-40,8,1.0,26,18.4886,1.5588,24.5558,5.11825E+11,18.4886,5.1182e+11,vbe_high,16,13.8101,1.5747,23.8755,5.04386E+11,13.8101,5.0439e+11
typ,-40,8,1.2,26,19.6822,1.5657,24.6715,5.16596E+11,19.6822,5.1660e+11,vbe_high,16,14.6172,1.5744,23.9942,5.10764E+11,14.6172,5.1076e+11
typ,-40,8,1.4,26,15.5411,1.5756,24.1118,5.1553E+11,21.0806,5.1909e+11,,16,15.5411,1.5756,24.1118,5.1553E+11,15.5411,5.1553e+11
typ,27,8,0.6,26,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11,,16,18.0816,1.8843,24.1210,4.03409E+11,14.0664,4.0375e+11
typ,27,8,0.8,26,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11,,16,19.0378,1.8966,24.2460,4.26539E+11,19.0378,4.2654e+11
typ,27,8,1.0,26,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11,,16,15.5220,1.9045,23.6863,4.32472E+11,20.1186,4.3762e+11
typ,27,8,1.2,26,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11,,15,16.3907,1.9130,23.8013,4.39031E+11,21.3547,4.4304e+11
typ,27,8,1.4,26,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11,,15,17.3839,1.9250,23.9126,4.43704E+11,22.7831,4.4569e+11
typ,125,8,0.6,26,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11,,13,16.8798,2.3946,23.0526,3.05884E+11,13.3266,3.0772e+11
typ,125,8,0.8,26,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11,,12,17.6924,2.4104,23.2390,3.40681E+11,17.6924,3.4068e+11
typ,125,8,1.0,26,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11,,12,14.5630,2.4200,22.5933,3.51372E+11,18.5988,3.5886e+11
typ,125,8,1.2,26,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11,,12,15.2891,2.4313,22.7163,3.58272E+11,19.6212,3.6574e+11
typ,125,8,1.4,26,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11,,11,16.1075,2.4462,22.8300,3.63183E+11,20.7863,3.6973e+11
wcs,-40,8,0.6,26,16.0812,1.8803,22.7903,4.00332E+11,16.0812,4.0033e+11,vbe_high,16,9.5637,1.9140,21.6308,3.88715E+11,9.5637,3.8872e+11
wcs,-40,8,0.8,26,16.7986,1.8858,22.8804,4.1738E+11,16.7986,4.1738e+11,vbe_high,16,9.9316,1.9114,21.7194,4.00965E+11,9.9316,4.0096e+11
wcs,-40,8,1.0,26,13.8096,1.8905,22.4814,4.21401E+11,17.5947,4.2650e+11,vbe_high,16,10.3336,1.9093,21.8069,4.0866E+11,10.3336,4.0866e+11
wcs,-40,8,1.2,26,14.4579,1.8939,22.5660,4.27734E+11,18.4856,4.3224e+11,vbe_high,16,10.7761,1.9078,21.8953,4.14388E+11,10.7761,4.1439e+11
wcs,-40,8,1.4,26,15.1804,1.8994,22.6483,4.32349E+11,19.4905,4.3582e+11,vbe_high,16,11.2658,1.9071,21.9799,4.18981E+11,11.2658,4.1898e+11
wcs,27,8,0.6,26,13.9198,2.2722,22.1087,3.32882E+11,13.9198,3.3288e+11,,16,13.9198,2.2722,22.1087,3.32882E+11,13.9198,3.3288e+11
wcs,27,8,0.8,26,14.4808,2.2822,22.2026,3.54158E+11,18.0245,3.5555e+11,,16,14.4808,2.2822,22.2026,3.54158E+11,18.0245,3.5555e+11
wcs,27,8,1.0,26,11.6645,2.2878,21.6202,3.53037E+11,18.8408,3.6660e+11,,16,11.6645,2.2878,21.6202,3.53037E+11,18.8408,3.6660e+11
wcs,27,8,1.2,26,12.1470,2.2938,21.7057,3.58869E+11,19.7458,3.7206e+11,,16,12.1470,2.2938,21.7057,3.58869E+11,19.7458,3.7206e+11
