point_id,corner_label,hbt_section,temp_c,nx,vce_v,vbe_v,ic_a,jc_ma_um2,ft_hz,gain_db,nf_db,validity_flags
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.65,5.215250e-09,0.000045,1.00326E+07,-51.594600,56.518100,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.67,1.394820e-08,0.000121,2.67282E+07,-51.580300,56.503800,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.69,3.730490e-08,0.000324,7.09795E+07,-51.549200,56.472900,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.71,9.976940e-08,0.000866,1.88759E+08,-51.407000,56.331000,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.73,2.667950e-07,0.002316,5.00893E+08,-50.579300,55.504200,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.75,7.132100e-07,0.006191,1.32718E+09,-47.127600,52.055000,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.77,1.904930e-06,0.016536,3.50748E+09,-40.251200,45.185300,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.79,5.075730e-06,0.044060,9.17643E+09,-32.087800,37.041300,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.81,1.343650e-05,0.116636,2.35823E+10,-23.820300,28.833900,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.83,3.496190e-05,0.303489,5.77791E+10,-15.877800,21.094400,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.85,8.725960e-05,0.757462,1.27142E+11,-8.739070,14.605500,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.87,2.002060e-04,1.737899,2.31128E+11,-3.026670,10.330900,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.89,4.043830e-04,3.510269,3.35613E+11,0.930343,8.184390,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.91,7.103200e-04,6.165972,4.11171E+11,3.419990,7.179720,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.93,1.107870e-03,9.616927,4.5617E+11,4.978530,6.643140,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.95,1.580550e-03,13.720052,4.79411E+11,6.007630,6.305120,
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.97,2.114630e-03,18.356163,4.89354E+11,6.734850,6.066120,vbe_high
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,0.99,2.700070e-03,23.438108,4.87539E+11,7.281360,5.885740,vbe_high
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,1.01,3.330530e-03,28.910851,4.74778E+11,7.712740,5.745470,ic_high;vbe_high
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,1.03,4.001040e-03,34.731250,4.53552E+11,8.066530,5.635740,ic_high;vbe_high
nx1_typ_-40c_vce1.2v,typ,hbt_typ,-40,1,1.2,1.05,4.708550e-03,40.872830,4.21047E+11,8.365160,5.551360,ic_high;vbe_high
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.55,3.899820e-11,0.000000,,-51.743300,56.666800,vbe_low
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.57,1.028620e-10,0.000001,,-51.734400,56.657900,vbe_low
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.59,2.737080e-10,0.000002,,-51.725300,56.648800,vbe_low
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.61,7.306890e-10,0.000006,,-51.716200,56.639700,vbe_low
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.63,1.952970e-09,0.000017,3.79426E+06,-51.706700,56.630300,vbe_low
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.65,5.222080e-09,0.000045,1.00752E+07,-51.696700,56.620300,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.67,1.396550e-08,0.000121,2.68511E+07,-51.684000,56.607500,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.69,3.734960e-08,0.000324,7.12856E+07,-51.654000,56.577700,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.71,9.988610e-08,0.000867,1.89644E+08,-51.510100,56.434100,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.73,2.671050e-07,0.002319,5.0311E+08,-50.664400,55.589300,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.75,7.140640e-07,0.006198,1.3337E+09,-47.161200,52.088600,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.77,1.907470e-06,0.016558,3.5243E+09,-40.249300,45.183400,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.79,5.084460e-06,0.044136,9.22192E+09,-32.075100,37.028700,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.81,1.347250e-05,0.116949,2.37382E+10,-23.799200,28.813100,
nx1_typ_-40c_vce1.4v,typ,hbt_typ,-40,1,1.4,0.83,3.513380e-05,0.304981,5.82232E+10,-15.840900,21.059300,
