point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,ic_a,ic_per_nx_a,vce_v,vb_v,ie_a
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-09,3.162280e-09,1.57076,0.639751,3.16071E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-09,4.216970e-09,1.56829,0.645609,4.2154E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-09,5.623410e-09,1.56605,0.651466,5.62184E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-09,7.498940e-09,1.56412,0.657321,7.49738E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1E-08,1.000000e-08,1.56257,0.663175,9.99844E-09
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.33352E-08,1.333520e-08,1.56142,0.669029,1.33336E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,1.77828E-08,1.778280e-08,1.56068,0.674883,1.77812E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,2.37137E-08,2.371370e-08,1.56034,0.680735,2.37121E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,3.16228E-08,3.162280e-08,1.56038,0.686589,3.16212E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,4.21697E-08,4.216970e-08,1.56078,0.692441,4.21681E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,5.62341E-08,5.623410e-08,1.56149,0.698293,5.62325E-08
a_nx1_typ_-40c_rbopen_st0,A,extraction,typ,hbt_typ,-40,1,0,open,1e12,7.49894E-08,7.498940e-08,1.5625,0.704146,7.49878E-08
