point_id,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,n_points,n_converged,vce_at_1ua_per_nx_v,vce_at_10ua_per_nx_v,vce_at_100ua_per_nx_v,vce_at_500ua_per_nx_v,locus_min_vce_v,locus_min_at_ic_per_nx_a,locus_has_foldback
a_nx8_bcs_-40c_rbopen_st0,extraction,bcs,hbt_bcs,-40,8,0,open,1e12,61,61,1.4728,1.4986,1.5417,1.6301,1.4540,4.2170e-08,yes
a_nx8_bcs_-40c_rbopen_st1,extraction,bcs,hbt_bcs,-40,8,1,open,1e12,61,61,1.4727,1.4985,1.5416,1.6310,1.4540,4.2170e-08,yes
a_nx8_bcs_27c_rbopen_st0,extraction,bcs,hbt_bcs,27,8,0,open,1e12,61,61,1.4490,1.4923,1.5534,1.6559,1.4020,1.3335e-08,yes
a_nx8_bcs_27c_rbopen_st1,extraction,bcs,hbt_bcs,27,8,1,open,1e12,61,61,1.4489,1.4922,1.5528,1.6550,1.4020,1.3335e-08,yes
a_nx8_bcs_125c_rbopen_st0,extraction,bcs,hbt_bcs,125,8,0,open,1e12,61,61,1.3310,1.4022,1.4910,1.6137,0.1809,1.0000e-10,no
a_nx8_bcs_125c_rbopen_st1,extraction,bcs,hbt_bcs,125,8,1,open,1e12,61,61,1.3310,1.4021,1.4905,1.6126,0.1809,1.0000e-10,no
a_nx8_fs_-40c_rbopen_st0,extraction,fs,hbt_typ,-40,8,0,open,1e12,61,61,1.5806,1.6055,1.6490,1.7461,1.5585,2.3714e-08,yes
a_nx8_fs_-40c_rbopen_st1,extraction,fs,hbt_typ,-40,8,1,open,1e12,61,61,1.5806,1.6054,1.6490,1.7476,1.5585,2.3714e-08,yes
a_nx8_fs_27c_rbopen_st0,extraction,fs,hbt_typ,27,8,0,open,1e12,61,61,1.5602,1.6030,1.6649,1.7766,1.5047,5.6234e-09,yes
a_nx8_fs_27c_rbopen_st1,extraction,fs,hbt_typ,27,8,1,open,1e12,61,61,1.5602,1.6029,1.6644,1.7758,1.5047,5.6234e-09,yes
