point_id,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,n_points,v_last_v,ic_per_nx_max_a,ic_monotone_in_vce,vce_at_1ua_per_nx_v,vce_at_10ua_per_nx_v,ic_per_nx_at_1p12v_a,ic_per_nx_at_1p40v_a,ic_per_nx_at_1p60v_a,ic_per_nx_at_2p00v_a
b_nx1_wcs_27c_rb1g_st1,control-open,wcs,hbt_wcs,27,1,1,1g,1e9,131,5.40,8.9352e-03,no,1.7155,1.7329,3.3628e-12,4.2017e-12,4.8009e-12,8.9028e-04
b_nx1_wcs_125c_rb1g_st1,control-open,wcs,hbt_wcs,125,1,1,1g,1e9,131,5.40,1.0457e-10,yes,,,9.0417e-11,9.1268e-11,9.1879e-11,9.3112e-11
b_nx8_bcs_-40c_rb1g_st1,control-open,bcs,hbt_bcs,-40,8,1,1g,1e9,131,5.40,2.0223e-12,yes,,,4.1945e-13,5.2431e-13,5.9921e-13,7.4901e-13
b_nx8_bcs_27c_rb1g_st1,control-open,bcs,hbt_bcs,27,8,1,1g,1e9,131,5.40,1.9910e-03,no,1.4763,1.4963,4.2635e-13,5.3122e-13,4.0155e-08,4.6913e-09
b_nx8_bcs_125c_rb1g_st1,control-open,bcs,hbt_bcs,125,8,1,1g,1e9,114,4.72,5.7830e-11,yes,,,5.0017e-11,5.0152e-11,5.0257e-11,5.0499e-11
b_nx8_fs_-40c_rb1g_st1,control-open,fs,hbt_typ,-40,8,1,1g,1e9,131,5.40,2.0479e-10,no,,,4.1945e-13,5.2430e-13,5.9921e-13,7.4901e-13
b_nx8_fs_27c_rb1g_st1,control-open,fs,hbt_typ,27,8,1,1g,1e9,131,5.40,6.5839e-03,no,1.5949,1.6049,4.2634e-13,5.3121e-13,8.0251e-06,1.5883e-03
b_nx8_fs_125c_rb1g_st1,control-open,fs,hbt_typ,125,8,1,1g,1e9,123,5.08,5.6968e-11,yes,,,4.9826e-11,4.9954e-11,5.0053e-11,5.0274e-11
b_nx8_sf_-40c_rb1g_st1,control-open,sf,hbt_typ,-40,8,1,1g,1e9,131,5.40,2.0479e-10,no,,,4.1945e-13,5.2430e-13,5.9921e-13,7.4901e-13
b_nx8_sf_27c_rb1g_st1,control-open,sf,hbt_typ,27,8,1,1g,1e9,131,5.40,6.5839e-03,no,1.5949,1.6049,4.2634e-13,5.3121e-13,8.0251e-06,1.5883e-03
b_nx8_sf_125c_rb1g_st1,control-open,sf,hbt_typ,125,8,1,1g,1e9,123,5.08,5.6968e-11,yes,,,4.9826e-11,4.9954e-11,5.0053e-11,5.0274e-11
b_nx8_typ_-40c_rb1g_st1,control-open,typ,hbt_typ,-40,8,1,1g,1e9,131,5.40,2.0479e-10,no,,,4.1945e-13,5.2430e-13,5.9921e-13,7.4901e-13
b_nx8_typ_27c_rb1g_st1,control-open,typ,hbt_typ,27,8,1,1g,1e9,131,5.40,6.5839e-03,no,1.5949,1.6049,4.2634e-13,5.3121e-13,8.0251e-06,1.5883e-03
b_nx8_typ_125c_rb1g_st1,control-open,typ,hbt_typ,125,8,1,1g,1e9,123,5.08,5.6968e-11,yes,,,4.9826e-11,4.9954e-11,5.0053e-11,5.0274e-11
b_nx8_wcs_-40c_rb1g_st1,control-open,wcs,hbt_wcs,-40,8,1,1g,1e9,131,5.40,7.9551e-10,no,,,4.1945e-13,5.2431e-13,5.9920e-13,7.4901e-13
b_nx8_wcs_27c_rb1g_st1,control-open,wcs,hbt_wcs,27,8,1,1g,1e9,131,5.40,3.7656e-03,no,1.7147,1.7228,4.2635e-13,5.3120e-13,6.0612e-13,8.9320e-04
b_nx8_wcs_125c_rb1g_st1,control-open,wcs,hbt_wcs,125,8,1,1g,1e9,131,5.40,5.4811e-11,yes,,,4.9635e-11,4.9758e-11,4.9851e-11,5.0053e-11
b_nx1_bcs_-40c_rb14k_st1,control-snapback,bcs,hbt_bcs,-40,1,1,14k,1.4e4,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_bcs_27c_rb14k_st1,control-snapback,bcs,hbt_bcs,27,1,1,14k,1.4e4,131,5.40,8.8687e-04,no,2.9853,2.9903,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_bcs_125c_rb14k_st1,control-snapback,bcs,hbt_bcs,125,1,1,14k,1.4e4,131,5.40,1.0484e-10,yes,,,9.0616e-11,9.1465e-11,9.2076e-11,9.3311e-11
b_nx1_fs_-40c_rb14k_st1,control-snapback,fs,hbt_typ,-40,1,1,14k,1.4e4,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_fs_27c_rb14k_st1,control-snapback,fs,hbt_typ,27,1,1,14k,1.4e4,131,5.40,6.8612e-03,no,2.7832,2.7878,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_fs_125c_rb14k_st1,control-snapback,fs,hbt_typ,125,1,1,14k,1.4e4,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_sf_-40c_rb14k_st1,control-snapback,sf,hbt_typ,-40,1,1,14k,1.4e4,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_sf_27c_rb14k_st1,control-snapback,sf,hbt_typ,27,1,1,14k,1.4e4,131,5.40,6.8612e-03,no,2.7832,2.7878,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_sf_125c_rb14k_st1,control-snapback,sf,hbt_typ,125,1,1,14k,1.4e4,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_typ_-40c_rb14k_st1,control-snapback,typ,hbt_typ,-40,1,1,14k,1.4e4,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_typ_27c_rb14k_st1,control-snapback,typ,hbt_typ,27,1,1,14k,1.4e4,131,5.40,6.8612e-03,no,2.7832,2.7878,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_typ_125c_rb14k_st1,control-snapback,typ,hbt_typ,125,1,1,14k,1.4e4,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_wcs_-40c_rb14k_st1,control-snapback,wcs,hbt_wcs,-40,1,1,14k,1.4e4,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_wcs_27c_rb14k_st1,control-snapback,wcs,hbt_wcs,27,1,1,14k,1.4e4,131,5.40,4.8583e-03,no,2.8635,2.8681,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_wcs_125c_rb14k_st1,control-snapback,wcs,hbt_wcs,125,1,1,14k,1.4e4,105,4.36,1.0061e-10,yes,,,9.0384e-11,9.1230e-11,9.1837e-11,9.3060e-11
b_nx8_bcs_-40c_rb14k_st1,control-snapback,bcs,hbt_bcs,-40,8,1,14k,1.4e4,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2500e-13,6.0000e-13,7.5000e-13
b_nx8_bcs_27c_rb14k_st1,control-snapback,bcs,hbt_bcs,27,8,1,14k,1.4e4,131,5.40,4.5743e-04,no,2.3478,2.3524,4.2692e-13,5.3193e-13,6.0691e-13,7.5693e-13
b_nx8_bcs_125c_rb14k_st1,control-snapback,bcs,hbt_bcs,125,8,1,14k,1.4e4,131,5.40,5.2644e-11,yes,,,4.9660e-11,4.9774e-11,4.9860e-11,5.0046e-11
b_nx8_fs_-40c_rb14k_st1,control-snapback,fs,hbt_typ,-40,8,1,14k,1.4e4,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0000e-13,7.5000e-13
b_nx8_fs_27c_rb14k_st1,control-snapback,fs,hbt_typ,27,8,1,14k,1.4e4,131,5.40,2.1698e-03,no,2.2658,2.2701,4.2691e-13,5.3192e-13,6.0693e-13,7.5691e-13
b_nx8_fs_125c_rb14k_st1,control-snapback,fs,hbt_typ,125,8,1,14k,1.4e4,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_sf_-40c_rb14k_st1,control-snapback,sf,hbt_typ,-40,8,1,14k,1.4e4,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0000e-13,7.5000e-13
b_nx8_sf_27c_rb14k_st1,control-snapback,sf,hbt_typ,27,8,1,14k,1.4e4,131,5.40,2.1698e-03,no,2.2658,2.2701,4.2691e-13,5.3192e-13,6.0693e-13,7.5691e-13
b_nx8_sf_125c_rb14k_st1,control-snapback,sf,hbt_typ,125,8,1,14k,1.4e4,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_typ_-40c_rb14k_st1,control-snapback,typ,hbt_typ,-40,8,1,14k,1.4e4,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0000e-13,7.5000e-13
b_nx8_typ_27c_rb14k_st1,control-snapback,typ,hbt_typ,27,8,1,14k,1.4e4,131,5.40,2.1698e-03,no,2.2658,2.2701,4.2691e-13,5.3192e-13,6.0693e-13,7.5691e-13
b_nx8_typ_125c_rb14k_st1,control-snapback,typ,hbt_typ,125,8,1,14k,1.4e4,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_wcs_-40c_rb14k_st1,control-snapback,wcs,hbt_wcs,-40,8,1,14k,1.4e4,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2501e-13,6.0001e-13,7.5000e-13
b_nx8_wcs_27c_rb14k_st1,control-snapback,wcs,hbt_wcs,27,8,1,14k,1.4e4,131,5.40,5.3919e-04,no,2.3876,2.3921,4.2692e-13,5.3192e-13,6.0694e-13,7.5691e-13
b_nx8_wcs_125c_rb14k_st1,control-snapback,wcs,hbt_wcs,125,8,1,14k,1.4e4,131,5.40,5.1922e-11,yes,,,4.9428e-11,4.9539e-11,4.9621e-11,4.9794e-11
bx_nx8_bcs_-40c_rb1p4k_st1,extended-probe,bcs,hbt_bcs,-40,8,1,1p4k,1.4e3,296,12.00,4.5000e-12,yes,,,4.2000e-13,5.2501e-13,6.0001e-13,7.5002e-13
bx_nx8_bcs_27c_rb1p4k_st1,extended-probe,bcs,hbt_bcs,27,8,1,1p4k,1.4e3,296,12.00,4.5094e-12,yes,,,4.2692e-13,5.3192e-13,6.0693e-13,7.5695e-13
bx_nx8_bcs_125c_rb1p4k_st1,extended-probe,bcs,hbt_bcs,125,8,1,1p4k,1.4e3,296,12.00,6.1377e-11,yes,,,4.9660e-11,4.9774e-11,4.9860e-11,5.0046e-11
bx_nx8_fs_-40c_rb1p4k_st1,extended-probe,fs,hbt_typ,-40,8,1,1p4k,1.4e3,296,12.00,4.5000e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
bx_nx8_fs_27c_rb1p4k_st1,extended-probe,fs,hbt_typ,27,8,1,1p4k,1.4e3,296,12.00,4.5094e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
bx_nx8_fs_125c_rb1p4k_st1,extended-probe,fs,hbt_typ,125,8,1,1p4k,1.4e3,215,8.76,5.5818e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
bx_nx8_sf_-40c_rb1p4k_st1,extended-probe,sf,hbt_typ,-40,8,1,1p4k,1.4e3,296,12.00,4.5000e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
bx_nx8_sf_27c_rb1p4k_st1,extended-probe,sf,hbt_typ,27,8,1,1p4k,1.4e3,296,12.00,4.5094e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
bx_nx8_sf_125c_rb1p4k_st1,extended-probe,sf,hbt_typ,125,8,1,1p4k,1.4e3,215,8.76,5.5818e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
bx_nx8_typ_-40c_rb1p4k_st1,extended-probe,typ,hbt_typ,-40,8,1,1p4k,1.4e3,296,12.00,4.5000e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
bx_nx8_typ_27c_rb1p4k_st1,extended-probe,typ,hbt_typ,27,8,1,1p4k,1.4e3,296,12.00,4.5094e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
bx_nx8_typ_125c_rb1p4k_st1,extended-probe,typ,hbt_typ,125,8,1,1p4k,1.4e3,215,8.76,5.5818e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
bx_nx8_wcs_-40c_rb1p4k_st1,extended-probe,wcs,hbt_wcs,-40,8,1,1p4k,1.4e3,296,12.00,4.4999e-12,yes,,,4.2001e-13,5.2501e-13,5.9999e-13,7.4999e-13
bx_nx8_wcs_27c_rb1p4k_st1,extended-probe,wcs,hbt_wcs,27,8,1,1p4k,1.4e3,296,12.00,4.5093e-12,yes,,,4.2691e-13,5.3191e-13,6.0693e-13,7.5692e-13
bx_nx8_wcs_125c_rb1p4k_st1,extended-probe,wcs,hbt_wcs,125,8,1,1p4k,1.4e3,296,12.00,5.8425e-11,yes,,,4.9428e-11,4.9539e-11,4.9621e-11,4.9794e-11
b_nx1_bcs_-40c_rb1p4k_st1,leakage,bcs,hbt_bcs,-40,1,1,1p4k,1.4e3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_bcs_27c_rb1p4k_st1,leakage,bcs,hbt_bcs,27,1,1,1p4k,1.4e3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_bcs_125c_rb1p4k_st1,leakage,bcs,hbt_bcs,125,1,1,1p4k,1.4e3,131,5.40,1.0484e-10,yes,,,9.0616e-11,9.1465e-11,9.2076e-11,9.3311e-11
b_nx1_fs_-40c_rb1p4k_st1,leakage,fs,hbt_typ,-40,1,1,1p4k,1.4e3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_fs_27c_rb1p4k_st1,leakage,fs,hbt_typ,27,1,1,1p4k,1.4e3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_fs_125c_rb1p4k_st1,leakage,fs,hbt_typ,125,1,1,1p4k,1.4e3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_sf_-40c_rb1p4k_st1,leakage,sf,hbt_typ,-40,1,1,1p4k,1.4e3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_sf_27c_rb1p4k_st1,leakage,sf,hbt_typ,27,1,1,1p4k,1.4e3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_sf_125c_rb1p4k_st1,leakage,sf,hbt_typ,125,1,1,1p4k,1.4e3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_typ_-40c_rb1p4k_st1,leakage,typ,hbt_typ,-40,1,1,1p4k,1.4e3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_typ_27c_rb1p4k_st1,leakage,typ,hbt_typ,27,1,1,1p4k,1.4e3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_typ_125c_rb1p4k_st1,leakage,typ,hbt_typ,125,1,1,1p4k,1.4e3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_wcs_-40c_rb1p4k_st1,leakage,wcs,hbt_wcs,-40,1,1,1p4k,1.4e3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_wcs_27c_rb1p4k_st1,leakage,wcs,hbt_wcs,27,1,1,1p4k,1.4e3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_wcs_125c_rb1p4k_st1,leakage,wcs,hbt_wcs,125,1,1,1p4k,1.4e3,131,5.40,1.0411e-10,yes,,,9.0384e-11,9.1230e-11,9.1837e-11,9.3060e-11
b_nx8_bcs_-40c_rb1p4k_st1,leakage,bcs,hbt_bcs,-40,8,1,1p4k,1.4e3,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2501e-13,6.0001e-13,7.5002e-13
b_nx8_bcs_27c_rb1p4k_st1,leakage,bcs,hbt_bcs,27,8,1,1p4k,1.4e3,131,5.40,2.0323e-12,yes,,,4.2692e-13,5.3192e-13,6.0693e-13,7.5695e-13
b_nx8_bcs_125c_rb1p4k_st1,leakage,bcs,hbt_bcs,125,8,1,1p4k,1.4e3,131,5.40,5.2644e-11,yes,,,4.9660e-11,4.9774e-11,4.9860e-11,5.0046e-11
b_nx8_fs_-40c_rb1p4k_st1,leakage,fs,hbt_typ,-40,8,1,1p4k,1.4e3,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
b_nx8_fs_27c_rb1p4k_st1,leakage,fs,hbt_typ,27,8,1,1p4k,1.4e3,131,5.40,2.0323e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
b_nx8_fs_125c_rb1p4k_st1,leakage,fs,hbt_typ,125,8,1,1p4k,1.4e3,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_sf_-40c_rb1p4k_st1,leakage,sf,hbt_typ,-40,8,1,1p4k,1.4e3,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
b_nx8_sf_27c_rb1p4k_st1,leakage,sf,hbt_typ,27,8,1,1p4k,1.4e3,131,5.40,2.0323e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
b_nx8_sf_125c_rb1p4k_st1,leakage,sf,hbt_typ,125,8,1,1p4k,1.4e3,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_typ_-40c_rb1p4k_st1,leakage,typ,hbt_typ,-40,8,1,1p4k,1.4e3,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,6.0002e-13,7.4998e-13
b_nx8_typ_27c_rb1p4k_st1,leakage,typ,hbt_typ,27,8,1,1p4k,1.4e3,131,5.40,2.0323e-12,yes,,,4.2693e-13,5.3192e-13,6.0691e-13,7.5691e-13
b_nx8_typ_125c_rb1p4k_st1,leakage,typ,hbt_typ,125,8,1,1p4k,1.4e3,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_wcs_-40c_rb1p4k_st1,leakage,wcs,hbt_wcs,-40,8,1,1p4k,1.4e3,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2501e-13,5.9999e-13,7.4999e-13
b_nx8_wcs_27c_rb1p4k_st1,leakage,wcs,hbt_wcs,27,8,1,1p4k,1.4e3,131,5.40,2.0323e-12,yes,,,4.2691e-13,5.3191e-13,6.0693e-13,7.5692e-13
b_nx8_wcs_125c_rb1p4k_st1,leakage,wcs,hbt_wcs,125,8,1,1p4k,1.4e3,131,5.40,5.1922e-11,yes,,,4.9428e-11,4.9539e-11,4.9621e-11,4.9794e-11
b_nx1_bcs_-40c_rbshort_st1,leakage,bcs,hbt_bcs,-40,1,1,short,1e-3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_bcs_27c_rbshort_st1,leakage,bcs,hbt_bcs,27,1,1,short,1e-3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_bcs_125c_rbshort_st1,leakage,bcs,hbt_bcs,125,1,1,short,1e-3,131,5.40,1.0484e-10,yes,,,9.0616e-11,9.1465e-11,9.2076e-11,9.3311e-11
b_nx1_fs_-40c_rbshort_st1,leakage,fs,hbt_typ,-40,1,1,short,1e-3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_fs_27c_rbshort_st1,leakage,fs,hbt_typ,27,1,1,short,1e-3,40,1.76,5.2873e-12,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,
b_nx1_fs_125c_rbshort_st1,leakage,fs,hbt_typ,125,1,1,short,1e-3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_sf_-40c_rbshort_st1,leakage,sf,hbt_typ,-40,1,1,short,1e-3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_sf_27c_rbshort_st1,leakage,sf,hbt_typ,27,1,1,short,1e-3,40,1.76,5.2873e-12,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,
b_nx1_sf_125c_rbshort_st1,leakage,sf,hbt_typ,125,1,1,short,1e-3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_typ_-40c_rbshort_st1,leakage,typ,hbt_typ,-40,1,1,short,1e-3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_typ_27c_rbshort_st1,leakage,typ,hbt_typ,27,1,1,short,1e-3,40,1.76,5.2873e-12,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,
b_nx1_typ_125c_rbshort_st1,leakage,typ,hbt_typ,125,1,1,short,1e-3,131,5.40,1.0447e-10,yes,,,9.0500e-11,9.1347e-11,9.1956e-11,9.3185e-11
b_nx1_wcs_-40c_rbshort_st1,leakage,wcs,hbt_wcs,-40,1,1,short,1e-3,131,5.40,1.6200e-11,yes,,,3.3600e-12,4.2000e-12,4.8000e-12,6.0000e-12
b_nx1_wcs_27c_rbshort_st1,leakage,wcs,hbt_wcs,27,1,1,short,1e-3,131,5.40,1.6208e-11,yes,,,3.3673e-12,4.2073e-12,4.8073e-12,6.0073e-12
b_nx1_wcs_125c_rbshort_st1,leakage,wcs,hbt_wcs,125,1,1,short,1e-3,131,5.40,1.0411e-10,yes,,,9.0384e-11,9.1230e-11,9.1837e-11,9.3060e-11
b_nx8_bcs_-40c_rbshort_st1,leakage,bcs,hbt_bcs,-40,8,1,short,1e-3,131,5.40,2.0250e-12,yes,,,4.2001e-13,5.2500e-13,5.9999e-13,7.5002e-13
b_nx8_bcs_27c_rbshort_st1,leakage,bcs,hbt_bcs,27,8,1,short,1e-3,131,5.40,2.0323e-12,yes,,,4.2692e-13,5.3191e-13,6.0692e-13,7.5692e-13
b_nx8_bcs_125c_rbshort_st1,leakage,bcs,hbt_bcs,125,8,1,short,1e-3,131,5.40,5.2644e-11,yes,,,4.9660e-11,4.9774e-11,4.9860e-11,5.0046e-11
b_nx8_fs_-40c_rbshort_st1,leakage,fs,hbt_typ,-40,8,1,short,1e-3,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2502e-13,6.0000e-13,7.5001e-13
b_nx8_fs_27c_rbshort_st1,leakage,fs,hbt_typ,27,8,1,short,1e-3,131,5.40,2.0323e-12,yes,,,4.2692e-13,5.3191e-13,6.0692e-13,7.5693e-13
b_nx8_fs_125c_rbshort_st1,leakage,fs,hbt_typ,125,8,1,short,1e-3,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_sf_-40c_rbshort_st1,leakage,sf,hbt_typ,-40,8,1,short,1e-3,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2502e-13,6.0000e-13,7.5001e-13
b_nx8_sf_27c_rbshort_st1,leakage,sf,hbt_typ,27,8,1,short,1e-3,131,5.40,2.0323e-12,yes,,,4.2692e-13,5.3191e-13,6.0692e-13,7.5693e-13
b_nx8_sf_125c_rbshort_st1,leakage,sf,hbt_typ,125,8,1,short,1e-3,131,5.40,5.2283e-11,yes,,,4.9544e-11,4.9657e-11,4.9740e-11,4.9920e-11
b_nx8_typ_-40c_rbshort_st1,leakage,typ,hbt_typ,-40,8,1,short,1e-3,131,5.40,2.0250e-12,yes,,,4.2000e-13,5.2502e-13,6.0000e-13,7.5001e-13
b_nx8_typ_27c_rbshort_st1,leakage,typ,hbt_typ,27,8,1,short,1e-3,131,5.40,2.0323e-12,yes,,,4.2692e-13,5.3191e-13,6.0692e-13,7.5693e-13
