point_id,bench,role,corner_label,hbt_section,temp_c,nx,selft,rb_label,rb_ohm,vce_v,ic_a,ic_per_nx_a,vbe_v
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.120000e+00,6.351546e-12,6.351546e-12,4.223114e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.160000e+00,6.471388e-12,6.471388e-12,4.302795e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.200000e+00,6.591223e-12,6.591223e-12,4.382476e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.240000e+00,6.711066e-12,6.711066e-12,4.462157e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.280000e+00,6.830910e-12,6.830910e-12,4.541839e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.320000e+00,6.950742e-12,6.950742e-12,4.621520e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.360000e+00,7.070577e-12,7.070577e-12,4.701201e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.400000e+00,7.190430e-12,7.190430e-12,4.780882e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.440000e+00,7.310271e-12,7.310271e-12,4.860564e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.480000e+00,7.430106e-12,7.430106e-12,4.940245e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.520000e+00,7.549950e-12,7.549950e-12,5.019926e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.560000e+00,7.669784e-12,7.669784e-12,5.099608e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.600000e+00,7.789635e-12,7.789635e-12,5.179289e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.640000e+00,7.909469e-12,7.909469e-12,5.258970e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.680000e+00,8.029313e-12,8.029313e-12,5.338651e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.720000e+00,8.149157e-12,8.149157e-12,5.418333e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.760000e+00,8.268998e-12,8.268998e-12,5.498014e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.800000e+00,8.388842e-12,8.388842e-12,5.577695e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.840000e+00,8.508677e-12,8.508677e-12,5.657377e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.880000e+00,8.628511e-12,8.628511e-12,5.737058e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.920000e+00,8.748353e-12,8.748353e-12,5.816739e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,2.960000e+00,8.868196e-12,8.868196e-12,5.896420e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.000000e+00,8.988031e-12,8.988031e-12,5.976102e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.040000e+00,9.107882e-12,9.107882e-12,6.055783e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.080000e+00,9.227716e-12,9.227716e-12,6.135464e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.120000e+00,9.347551e-12,9.347551e-12,6.215145e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.160000e+00,9.467395e-12,9.467395e-12,6.294827e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.200000e+00,9.587229e-12,9.587229e-12,6.374508e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.240000e+00,9.707073e-12,9.707073e-12,6.454189e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.280000e+00,9.826912e-12,9.826912e-12,6.533871e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.320000e+00,9.946756e-12,9.946756e-12,6.613552e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.360000e+00,1.006660e-11,1.006660e-11,6.693233e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.400000e+00,1.018643e-11,1.018643e-11,6.772914e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.440000e+00,1.030628e-11,1.030628e-11,6.852596e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.480000e+00,1.042611e-11,1.042611e-11,6.932277e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.520000e+00,1.054596e-11,1.054596e-11,7.011958e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.560000e+00,1.066583e-11,1.066583e-11,7.091640e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.600000e+00,1.078566e-11,1.078566e-11,7.171321e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.640000e+00,1.090551e-11,1.090551e-11,7.251002e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.680000e+00,1.102538e-11,1.102538e-11,7.330683e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.720000e+00,1.114519e-11,1.114519e-11,7.410365e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.760000e+00,1.126498e-11,1.126498e-11,7.490046e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.800000e+00,1.138486e-11,1.138486e-11,7.569727e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.840000e+00,1.150474e-11,1.150474e-11,7.649408e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.880000e+00,1.162453e-11,1.162453e-11,7.729090e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.920000e+00,1.174444e-11,1.174444e-11,7.808771e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,3.960000e+00,1.186423e-11,1.186423e-11,7.888452e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.000000e+00,1.198406e-11,1.198406e-11,7.968134e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.040000e+00,1.210392e-11,1.210392e-11,8.047815e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.080000e+00,1.222372e-11,1.222372e-11,8.127496e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.120000e+00,1.234355e-11,1.234355e-11,8.207177e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.160000e+00,1.246345e-11,1.246345e-11,8.286859e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.200000e+00,1.258331e-11,1.258331e-11,8.366540e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.240000e+00,1.270310e-11,1.270310e-11,8.446221e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.280000e+00,1.282298e-11,1.282298e-11,8.525903e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.320000e+00,1.294280e-11,1.294280e-11,8.605584e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.360000e+00,1.306263e-11,1.306263e-11,8.685265e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.400000e+00,1.318244e-11,1.318244e-11,8.764946e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.440000e+00,1.330232e-11,1.330232e-11,8.844628e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.480000e+00,1.342213e-11,1.342213e-11,8.924309e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.520000e+00,1.354198e-11,1.354198e-11,9.003990e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.560000e+00,1.366179e-11,1.366179e-11,9.083672e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.600000e+00,1.378172e-11,1.378172e-11,9.163353e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.640000e+00,1.390152e-11,1.390152e-11,9.243034e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.680000e+00,1.402141e-11,1.402141e-11,9.322715e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.720000e+00,1.414125e-11,1.414125e-11,9.402397e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.760000e+00,1.426106e-11,1.426106e-11,9.482078e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.800000e+00,1.438094e-11,1.438094e-11,9.561759e-03
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.840000e+00,1.657698e-09,1.657698e-09,6.167955e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.880000e+00,1.625483e-09,1.625483e-09,6.161614e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.920000e+00,1.594648e-09,1.594648e-09,6.155357e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,4.960000e+00,1.565119e-09,1.565119e-09,6.149184e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.000000e+00,1.536826e-09,1.536826e-09,6.143092e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.040000e+00,1.509702e-09,1.509702e-09,6.137079e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.080000e+00,1.483685e-09,1.483685e-09,6.131143e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.120000e+00,1.458718e-09,1.458718e-09,6.125284e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.160000e+00,1.434746e-09,1.434746e-09,6.119499e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.200000e+00,1.411719e-09,1.411719e-09,6.113786e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.240000e+00,1.389588e-09,1.389588e-09,6.108145e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.280000e+00,1.368310e-09,1.368310e-09,6.102573e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.320000e+00,1.347842e-09,1.347842e-09,6.097069e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.360000e+00,1.328144e-09,1.328144e-09,6.091632e-01
b_nx1_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,1,1,1g,1e9,5.400000e+00,1.309178e-09,1.309178e-09,6.086260e-01
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,2.000000e-01,5.992653e-13,7.490816e-14,3.984539e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,2.400000e-01,7.190862e-13,8.988578e-14,4.781353e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,2.800000e-01,8.389298e-13,1.048662e-13,5.578167e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,3.200000e-01,9.587664e-13,1.198458e-13,6.374979e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,3.600000e-01,1.078603e-12,1.348254e-13,7.171792e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,4.000000e-01,1.198440e-12,1.498050e-13,7.968605e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,4.400000e-01,1.318288e-12,1.647860e-13,8.765418e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,4.800000e-01,1.438122e-12,1.797653e-13,9.562231e-04
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,5.200000e-01,1.557961e-12,1.947451e-13,1.035904e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,5.600000e-01,1.677795e-12,2.097244e-13,1.115586e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,6.000000e-01,1.797626e-12,2.247032e-13,1.195267e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,6.400000e-01,1.917478e-12,2.396848e-13,1.274948e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,6.800000e-01,2.037331e-12,2.546664e-13,1.354629e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,7.200000e-01,2.157147e-12,2.696434e-13,1.434311e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,7.600000e-01,2.277000e-12,2.846250e-13,1.513992e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,8.000000e-01,2.396853e-12,2.996066e-13,1.593673e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,8.400000e-01,2.516683e-12,3.145854e-13,1.673355e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,8.800000e-01,2.636540e-12,3.295675e-13,1.753036e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,9.200000e-01,2.756370e-12,3.445462e-13,1.832717e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,9.600000e-01,2.876209e-12,3.595261e-13,1.912398e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.000000e+00,2.996066e-12,3.745082e-13,1.992080e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.040000e+00,3.115860e-12,3.894825e-13,2.071761e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.080000e+00,3.235699e-12,4.044624e-13,2.151442e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.120000e+00,3.355565e-12,4.194456e-13,2.231123e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.160000e+00,3.475395e-12,4.344244e-13,2.310805e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.200000e+00,3.595270e-12,4.494087e-13,2.390486e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.240000e+00,3.715101e-12,4.643876e-13,2.470167e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.280000e+00,3.834903e-12,4.793629e-13,2.549848e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.320000e+00,3.954733e-12,4.943416e-13,2.629530e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.360000e+00,4.074609e-12,5.093261e-13,2.709211e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.400000e+00,4.194402e-12,5.243003e-13,2.788892e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.440000e+00,4.314269e-12,5.392836e-13,2.868573e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.480000e+00,4.434144e-12,5.542680e-13,2.948255e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.520000e+00,4.553997e-12,5.692496e-13,3.027936e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.560000e+00,4.673837e-12,5.842296e-13,3.107617e-03
b_nx8_typ_-40c_rb1g_st1,B,control-open,typ,hbt_typ,-40,8,1,1g,1e9,1.600000e+00,4.793696e-12,5.992120e-13,3.187299e-03
